Memory Usage: 313.645 MB, CPU Usage: 281.00 %, Power Usage: 68.27442300000000000000 W
Memory Usage: 326.617 MB, CPU Usage: 291.00 %, Power Usage: 133.24215100000000000000 W
Memory Usage: 332.535 MB, CPU Usage: 291.00 %, Power Usage: 133.69588600000000000000 W
Memory Usage: 333 MB, CPU Usage: 290.00 %, Power Usage: 132.16348100000000000000 W
Memory Usage: 332.949 MB, CPU Usage: 163.00 %, Power Usage: 121.19420800000000000000 W
Memory Usage: 333.062 MB, CPU Usage: 284.00 %, Power Usage: 129.17892900000000000000 W
Memory Usage: 330.707 MB, CPU Usage: 290.00 %, Power Usage: 130.43539600000000000000 W
Memory Usage: 333.355 MB, CPU Usage: 133.00 %, Power Usage: 112.33064600000000000000 W
Memory Usage: 330.957 MB, CPU Usage: 111.00 %, Power Usage: 108.07363600000000000000 W
Memory Usage: 331.27 MB, CPU Usage: 107.92 %, Power Usage: 107.98104800000000000000 W
Memory Usage: 331.895 MB, CPU Usage: 116.00 %, Power Usage: 108.01235700000000000000 W
Memory Usage: 331.895 MB, CPU Usage: 116.00 %, Power Usage: 107.91439700000000000000 W
Memory Usage: 334.395 MB, CPU Usage: 111.00 %, Power Usage: 110.11202300000000000000 W
Memory Usage: 328.551 MB, CPU Usage: 237.00 %, Power Usage: 113.94343300000000000000 W
Memory Usage: 333.965 MB, CPU Usage: 286.00 %, Power Usage: 130.76974600000000000000 W
Memory Usage: 333.965 MB, CPU Usage: 284.00 %, Power Usage: 130.88259900000000000000 W
Memory Usage: 333.223 MB, CPU Usage: 294.00 %, Power Usage: 131.44442800000000000000 W
Memory Usage: 331.781 MB, CPU Usage: 160.00 %, Power Usage: 112.11152800000000000000 W
Memory Usage: 332.148 MB, CPU Usage: 106.00 %, Power Usage: 107.69711200000000000000 W
Memory Usage: 332.461 MB, CPU Usage: 109.00 %, Power Usage: 107.73110900000000000000 W
Memory Usage: 332.461 MB, CPU Usage: 108.00 %, Power Usage: 107.88400200000000000000 W
Memory Usage: 332.461 MB, CPU Usage: 110.00 %, Power Usage: 108.19295900000000000000 W
Memory Usage: 332.461 MB, CPU Usage: 108.00 %, Power Usage: 108.15389900000000000000 W
Memory Usage: 331.996 MB, CPU Usage: 108.00 %, Power Usage: 107.19998200000000000000 W
Memory Usage: 333.926 MB, CPU Usage: 278.00 %, Power Usage: 123.26799500000000000000 W
Memory Usage: 331.738 MB, CPU Usage: 289.00 %, Power Usage: 131.64620800000000000000 W
Memory Usage: 335.281 MB, CPU Usage: 168.00 %, Power Usage: 124.09556800000000000000 W
Memory Usage: 335.332 MB, CPU Usage: 118.00 %, Power Usage: 110.66384000000000000000 W
Memory Usage: 332.574 MB, CPU Usage: 105.00 %, Power Usage: 107.77633700000000000000 W
Memory Usage: 332.574 MB, CPU Usage: 102.00 %, Power Usage: 107.59939400000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 108.00 %, Power Usage: 107.43270900000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 106.00 %, Power Usage: 108.34823200000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 107.92 %, Power Usage: 108.49636600000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 109.00 %, Power Usage: 108.48891900000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 106.00 %, Power Usage: 108.29812300000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 102.00 %, Power Usage: 107.56253100000000000000 W
Memory Usage: 332.887 MB, CPU Usage: 214.00 %, Power Usage: 111.92030600000000000000 W
