Memory Usage: 338.031 MB, CPU Usage: 274.00 %, Power Usage: 69.92639600000000000000 W
Memory Usage: 339.105 MB, CPU Usage: 271.00 %, Power Usage: 136.50160300000000000000 W
Memory Usage: 342.555 MB, CPU Usage: 273.00 %, Power Usage: 142.18622100000000000000 W
Memory Usage: 333.883 MB, CPU Usage: 103.00 %, Power Usage: 142.89056400000000000000 W
Memory Usage: 341.605 MB, CPU Usage: 277.00 %, Power Usage: 130.50497600000000000000 W
Memory Usage: 340.633 MB, CPU Usage: 114.00 %, Power Usage: 129.14450600000000000000 W
Memory Usage: 334.309 MB, CPU Usage: 148.00 %, Power Usage: 118.83013900000000000000 W
Memory Usage: 340.598 MB, CPU Usage: 212.00 %, Power Usage: 136.63533200000000000000 W
Memory Usage: 334.375 MB, CPU Usage: 98.00 %, Power Usage: 119.42334000000000000000 W
Memory Usage: 334.375 MB, CPU Usage: 103.00 %, Power Usage: 118.69055300000000000000 W
Memory Usage: 340.547 MB, CPU Usage: 273.00 %, Power Usage: 136.35670700000000000000 W
Memory Usage: 334.168 MB, CPU Usage: 105.00 %, Power Usage: 132.15444600000000000000 W
Memory Usage: 334.168 MB, CPU Usage: 105.00 %, Power Usage: 135.71364200000000000000 W
Memory Usage: 334.168 MB, CPU Usage: 201.00 %, Power Usage: 120.85931000000000000000 W
Memory Usage: 340.02 MB, CPU Usage: 130.00 %, Power Usage: 127.82273200000000000000 W
Memory Usage: 334.598 MB, CPU Usage: 98.02 %, Power Usage: 118.07129200000000000000 W
Memory Usage: 334.598 MB, CPU Usage: 100.00 %, Power Usage: 118.70984000000000000000 W
Memory Usage: 334.004 MB, CPU Usage: 110.00 %, Power Usage: 127.59110400000000000000 W
Memory Usage: 340.406 MB, CPU Usage: 276.00 %, Power Usage: 138.06501500000000000000 W
Memory Usage: 334.105 MB, CPU Usage: 105.00 %, Power Usage: 122.59465700000000000000 W
Memory Usage: 334.105 MB, CPU Usage: 106.00 %, Power Usage: 115.36323000000000000000 W
Memory Usage: 334.105 MB, CPU Usage: 106.00 %, Power Usage: 116.09601600000000000000 W
Memory Usage: 334.105 MB, CPU Usage: 176.00 %, Power Usage: 118.24188500000000000000 W
Memory Usage: 341 MB, CPU Usage: 152.00 %, Power Usage: 128.23465600000000000000 W
Memory Usage: 336.145 MB, CPU Usage: 100.99 %, Power Usage: 119.87243600000000000000 W
Memory Usage: 336.145 MB, CPU Usage: 99.00 %, Power Usage: 120.78399200000000000000 W
Memory Usage: 336.145 MB, CPU Usage: 99.00 %, Power Usage: 117.67474800000000000000 W
Memory Usage: 336.145 MB, CPU Usage: 105.00 %, Power Usage: 118.77343900000000000000 W
Memory Usage: 334.145 MB, CPU Usage: 267.00 %, Power Usage: 127.10520400000000000000 W
Memory Usage: 339.469 MB, CPU Usage: 195.00 %, Power Usage: 132.43179000000000000000 W
Memory Usage: 334.051 MB, CPU Usage: 98.00 %, Power Usage: 117.68414700000000000000 W
Memory Usage: 333.305 MB, CPU Usage: 99.00 %, Power Usage: 116.75885600000000000000 W
Memory Usage: 333.93 MB, CPU Usage: 98.00 %, Power Usage: 118.59582600000000000000 W
Memory Usage: 333.93 MB, CPU Usage: 100.00 %, Power Usage: 116.83808100000000000000 W
Memory Usage: 340.137 MB, CPU Usage: 273.00 %, Power Usage: 123.06957000000000000000 W
Memory Usage: 334.184 MB, CPU Usage: 105.00 %, Power Usage: 113.03968800000000000000 W
Memory Usage: 334.184 MB, CPU Usage: 103.00 %, Power Usage: 109.71151200000000000000 W
Memory Usage: 334.184 MB, CPU Usage: 104.00 %, Power Usage: 109.72707500000000000000 W
Memory Usage: 334.184 MB, CPU Usage: 104.00 %, Power Usage: 109.68447300000000000000 W
