Memory Usage: 370.207 MB, CPU Usage: 210.00 %, Power Usage: 63.42726700000000000000 W
Memory Usage: 372.395 MB, CPU Usage: 228.00 %, Power Usage: 127.84702300000000000000 W
Memory Usage: 373.332 MB, CPU Usage: 250.00 %, Power Usage: 125.37364200000000000000 W
Memory Usage: 373.957 MB, CPU Usage: 228.00 %, Power Usage: 120.03936500000000000000 W
Memory Usage: 373.957 MB, CPU Usage: 233.00 %, Power Usage: 121.10399900000000000000 W
Memory Usage: 423.316 MB, CPU Usage: 184.00 %, Power Usage: 123.44035800000000000000 W
Memory Usage: 426.441 MB, CPU Usage: 100.00 %, Power Usage: 120.74413700000000000000 W
Memory Usage: 372.582 MB, CPU Usage: 181.00 %, Power Usage: 121.26006600000000000000 W
Memory Usage: 363.309 MB, CPU Usage: 244.00 %, Power Usage: 119.64031800000000000000 W
Memory Usage: 363.113 MB, CPU Usage: 180.00 %, Power Usage: 112.81019600000000000000 W
Memory Usage: 363.031 MB, CPU Usage: 88.00 %, Power Usage: 117.55866000000000000000 W
Memory Usage: 372.988 MB, CPU Usage: 179.00 %, Power Usage: 121.63604200000000000000 W
Memory Usage: 363.098 MB, CPU Usage: 174.00 %, Power Usage: 111.86976900000000000000 W
Memory Usage: 371.332 MB, CPU Usage: 83.00 %, Power Usage: 118.23767300000000000000 W
Memory Usage: 363.168 MB, CPU Usage: 236.00 %, Power Usage: 116.39514900000000000000 W
Memory Usage: 372.148 MB, CPU Usage: 232.00 %, Power Usage: 121.65630500000000000000 W
Memory Usage: 363.156 MB, CPU Usage: 116.00 %, Power Usage: 112.59858800000000000000 W
Memory Usage: 363.156 MB, CPU Usage: 85.15 %, Power Usage: 108.25649900000000000000 W
Memory Usage: 363.156 MB, CPU Usage: 148.00 %, Power Usage: 109.11629800000000000000 W
Memory Usage: 362.973 MB, CPU Usage: 233.00 %, Power Usage: 120.90716000000000000000 W
Memory Usage: 372.008 MB, CPU Usage: 136.00 %, Power Usage: 116.46356900000000000000 W
Memory Usage: 362.863 MB, CPU Usage: 95.00 %, Power Usage: 108.48745400000000000000 W
Memory Usage: 362.863 MB, CPU Usage: 90.00 %, Power Usage: 108.15267800000000000000 W
Memory Usage: 362.863 MB, CPU Usage: 93.00 %, Power Usage: 108.42562600000000000000 W
Memory Usage: 366.211 MB, CPU Usage: 217.00 %, Power Usage: 117.88183900000000000000 W
Memory Usage: 371.891 MB, CPU Usage: 188.00 %, Power Usage: 124.66417000000000000000 W
Memory Usage: 362.785 MB, CPU Usage: 82.00 %, Power Usage: 108.17416200000000000000 W
Memory Usage: 362.742 MB, CPU Usage: 85.00 %, Power Usage: 110.80892000000000000000 W
Memory Usage: 362.742 MB, CPU Usage: 84.00 %, Power Usage: 108.20022400000000000000 W
Memory Usage: 362.742 MB, CPU Usage: 83.00 %, Power Usage: 106.26114100000000000000 W
Memory Usage: 362.887 MB, CPU Usage: 240.00 %, Power Usage: 126.75626800000000000000 W
Memory Usage: 372.887 MB, CPU Usage: 119.00 %, Power Usage: 121.71917000000000000000 W
Memory Usage: 362.836 MB, CPU Usage: 82.18 %, Power Usage: 107.27230900000000000000 W
Memory Usage: 362.797 MB, CPU Usage: 91.00 %, Power Usage: 111.01949100000000000000 W
Memory Usage: 362.797 MB, CPU Usage: 89.00 %, Power Usage: 108.36385900000000000000 W
Memory Usage: 362.797 MB, CPU Usage: 87.00 %, Power Usage: 108.21828900000000000000 W
Memory Usage: 362.797 MB, CPU Usage: 213.00 %, Power Usage: 113.08259700000000000000 W
Memory Usage: 372.754 MB, CPU Usage: 250.00 %, Power Usage: 122.67308700000000000000 W
Memory Usage: 373.066 MB, CPU Usage: 91.00 %, Power Usage: 120.05383000000000000000 W
Memory Usage: 362.492 MB, CPU Usage: 86.00 %, Power Usage: 108.56289400000000000000 W
Memory Usage: 362.492 MB, CPU Usage: 186.00 %, Power Usage: 111.57814500000000000000 W
Memory Usage: 362.605 MB, CPU Usage: 89.00 %, Power Usage: 109.62758700000000000000 W
Memory Usage: 362.605 MB, CPU Usage: 90.00 %, Power Usage: 108.34841700000000000000 W
Memory Usage: 362.605 MB, CPU Usage: 89.00 %, Power Usage: 106.74319600000000000000 W
Memory Usage: 370.691 MB, CPU Usage: 210.00 %, Power Usage: 123.99858400000000000000 W
Memory Usage: 372.73 MB, CPU Usage: 237.00 %, Power Usage: 132.43294900000000000000 W
Memory Usage: 362.68 MB, CPU Usage: 85.00 %, Power Usage: 110.77468000000000000000 W
Memory Usage: 362.68 MB, CPU Usage: 86.00 %, Power Usage: 108.69515600000000000000 W
Memory Usage: 362.68 MB, CPU Usage: 83.00 %, Power Usage: 108.70943900000000000000 W
Memory Usage: 362.641 MB, CPU Usage: 90.00 %, Power Usage: 111.09847100000000000000 W
Memory Usage: 362.641 MB, CPU Usage: 90.00 %, Power Usage: 108.95308900000000000000 W
Memory Usage: 362.641 MB, CPU Usage: 89.00 %, Power Usage: 109.34084600000000000000 W
Memory Usage: 362.641 MB, CPU Usage: 155.00 %, Power Usage: 111.31459500000000000000 W
Memory Usage: 372.555 MB, CPU Usage: 235.00 %, Power Usage: 127.18155900000000000000 W
Memory Usage: 372.867 MB, CPU Usage: 129.00 %, Power Usage: 124.24638700000000000000 W
