Memory Usage: 71.5117 MB, CPU Usage: 142.00 %, Power Usage: 53.81193400000000000000 W
Memory Usage: 71.6914 MB, CPU Usage: 219.00 %, Power Usage: 111.15498900000000000000 W
Memory Usage: 103.566 MB, CPU Usage: 224.00 %, Power Usage: 115.91565800000000000000 W
Memory Usage: 101.637 MB, CPU Usage: 126.00 %, Power Usage: 104.49747400000000000000 W
Memory Usage: 111.637 MB, CPU Usage: 241.00 %, Power Usage: 115.32856300000000000000 W
Memory Usage: 111.637 MB, CPU Usage: 200.00 %, Power Usage: 115.02021300000000000000 W
Memory Usage: 111.637 MB, CPU Usage: 199.00 %, Power Usage: 105.83255400000000000000 W
Memory Usage: 112.262 MB, CPU Usage: 239.00 %, Power Usage: 116.83045000000000000000 W
Memory Usage: 112.262 MB, CPU Usage: 190.00 %, Power Usage: 111.84413600000000000000 W
Memory Usage: 112.887 MB, CPU Usage: 241.00 %, Power Usage: 113.41719000000000000000 W
Memory Usage: 112.887 MB, CPU Usage: 217.00 %, Power Usage: 115.36573200000000000000 W
Memory Usage: 112.887 MB, CPU Usage: 208.00 %, Power Usage: 116.16046900000000000000 W
Memory Usage: 122.574 MB, CPU Usage: 213.00 %, Power Usage: 115.91761100000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 240.00 %, Power Usage: 117.92157400000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 203.00 %, Power Usage: 111.61128500000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 240.00 %, Power Usage: 117.97699300000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 130.00 %, Power Usage: 109.96615000000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 239.00 %, Power Usage: 114.99738600000000000000 W
Memory Usage: 114.531 MB, CPU Usage: 201.00 %, Power Usage: 114.36158400000000000000 W
Memory Usage: 74.8516 MB, CPU Usage: 170.00 %, Power Usage: 113.58772300000000000000 W
Memory Usage: 114.539 MB, CPU Usage: 203.00 %, Power Usage: 115.26941900000000000000 W
Memory Usage: 120.602 MB, CPU Usage: 232.00 %, Power Usage: 115.15241500000000000000 W
Memory Usage: 104.473 MB, CPU Usage: 196.04 %, Power Usage: 106.21695200000000000000 W
Memory Usage: 75.4062 MB, CPU Usage: 238.00 %, Power Usage: 116.37665500000000000000 W
Memory Usage: 115.406 MB, CPU Usage: 202.00 %, Power Usage: 113.33784500000000000000 W
Memory Usage: 116.027 MB, CPU Usage: 238.00 %, Power Usage: 113.66682400000000000000 W
Memory Usage: 102.586 MB, CPU Usage: 209.00 %, Power Usage: 113.21205000000000000000 W
Memory Usage: 76.0195 MB, CPU Usage: 154.46 %, Power Usage: 110.69124600000000000000 W
Memory Usage: 116.332 MB, CPU Usage: 209.00 %, Power Usage: 112.92012100000000000000 W
Memory Usage: 116.328 MB, CPU Usage: 229.00 %, Power Usage: 115.65668700000000000000 W
Memory Usage: 124.453 MB, CPU Usage: 197.00 %, Power Usage: 103.84116400000000000000 W
Memory Usage: 125.391 MB, CPU Usage: 237.00 %, Power Usage: 116.25367000000000000000 W
Memory Usage: 125.391 MB, CPU Usage: 211.00 %, Power Usage: 112.90138300000000000000 W
Memory Usage: 126.328 MB, CPU Usage: 236.00 %, Power Usage: 115.93256500000000000000 W
Memory Usage: 126.328 MB, CPU Usage: 220.00 %, Power Usage: 112.79432700000000000000 W
Memory Usage: 126.328 MB, CPU Usage: 239.00 %, Power Usage: 115.60761400000000000000 W
Memory Usage: 126.328 MB, CPU Usage: 197.03 %, Power Usage: 106.09360100000000000000 W
Memory Usage: 126.328 MB, CPU Usage: 236.00 %, Power Usage: 114.54353000000000000000 W
Memory Usage: 95.0195 MB, CPU Usage: 230.00 %, Power Usage: 113.13368300000000000000 W
Memory Usage: 78.4531 MB, CPU Usage: 233.00 %, Power Usage: 116.08826500000000000000 W
Memory Usage: 118.453 MB, CPU Usage: 242.00 %, Power Usage: 111.97609300000000000000 W
Memory Usage: 126.266 MB, CPU Usage: 226.00 %, Power Usage: 115.44086600000000000000 W
Memory Usage: 126.266 MB, CPU Usage: 237.00 %, Power Usage: 114.02784500000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 222.00 %, Power Usage: 115.43226100000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 240.00 %, Power Usage: 114.76105800000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 217.00 %, Power Usage: 114.34504500000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 242.00 %, Power Usage: 115.13532500000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 208.00 %, Power Usage: 114.04023500000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 234.00 %, Power Usage: 115.02283800000000000000 W
Memory Usage: 126.578 MB, CPU Usage: 205.00 %, Power Usage: 112.59566000000000000000 W
Memory Usage: 81.7695 MB, CPU Usage: 238.00 %, Power Usage: 116.26136000000000000000 W
Memory Usage: 119.27 MB, CPU Usage: 209.00 %, Power Usage: 113.87257200000000000000 W
Memory Usage: 127.391 MB, CPU Usage: 239.00 %, Power Usage: 115.68927900000000000000 W
Memory Usage: 117.582 MB, CPU Usage: 214.00 %, Power Usage: 115.20679700000000000000 W
Memory Usage: 87.8906 MB, CPU Usage: 246.00 %, Power Usage: 116.31012700000000000000 W
Memory Usage: 79.8867 MB, CPU Usage: 222.00 %, Power Usage: 116.00129000000000000000 W
Memory Usage: 120.199 MB, CPU Usage: 242.00 %, Power Usage: 115.62641400000000000000 W
Memory Usage: 118.008 MB, CPU Usage: 239.00 %, Power Usage: 116.92603000000000000000 W
Memory Usage: 128.008 MB, CPU Usage: 236.00 %, Power Usage: 113.94319000000000000000 W
Memory Usage: 80.6289 MB, CPU Usage: 241.00 %, Power Usage: 116.86987900000000000000 W
Memory Usage: 120.629 MB, CPU Usage: 223.00 %, Power Usage: 114.82740400000000000000 W
Memory Usage: 129.691 MB, CPU Usage: 240.00 %, Power Usage: 117.03107300000000000000 W
Memory Usage: 129.691 MB, CPU Usage: 206.00 %, Power Usage: 114.76374300000000000000 W
Memory Usage: 129.691 MB, CPU Usage: 238.00 %, Power Usage: 117.43543000000000000000 W
Memory Usage: 117.395 MB, CPU Usage: 207.00 %, Power Usage: 115.28315200000000000000 W
Memory Usage: 121.77 MB, CPU Usage: 240.00 %, Power Usage: 116.57160100000000000000 W
Memory Usage: 121.77 MB, CPU Usage: 218.00 %, Power Usage: 115.74787300000000000000 W
Memory Usage: 121.77 MB, CPU Usage: 240.00 %, Power Usage: 115.62153000000000000000 W
Memory Usage: 121.77 MB, CPU Usage: 229.00 %, Power Usage: 116.21729300000000000000 W
Memory Usage: 129.582 MB, CPU Usage: 244.00 %, Power Usage: 115.10639500000000000000 W
Memory Usage: 119.707 MB, CPU Usage: 237.00 %, Power Usage: 117.20404500000000000000 W
Memory Usage: 101.078 MB, CPU Usage: 227.00 %, Power Usage: 115.18885300000000000000 W
Memory Usage: 82.7617 MB, CPU Usage: 239.00 %, Power Usage: 116.72663000000000000000 W
Memory Usage: 122.762 MB, CPU Usage: 219.00 %, Power Usage: 114.85444200000000000000 W
Memory Usage: 122.758 MB, CPU Usage: 240.00 %, Power Usage: 117.22406600000000000000 W
Memory Usage: 113.379 MB, CPU Usage: 207.00 %, Power Usage: 115.46540300000000000000 W
Memory Usage: 84.625 MB, CPU Usage: 234.00 %, Power Usage: 117.05511900000000000000 W
Memory Usage: 132.125 MB, CPU Usage: 216.00 %, Power Usage: 115.56940700000000000000 W
Memory Usage: 124.199 MB, CPU Usage: 240.00 %, Power Usage: 117.08722500000000000000 W
Memory Usage: 125.277 MB, CPU Usage: 217.00 %, Power Usage: 116.41944000000000000000 W
Memory Usage: 95.3984 MB, CPU Usage: 238.00 %, Power Usage: 116.47370100000000000000 W
Memory Usage: 85.3945 MB, CPU Usage: 232.00 %, Power Usage: 117.39734400000000000000 W
Memory Usage: 125.395 MB, CPU Usage: 241.00 %, Power Usage: 114.79572600000000000000 W
Memory Usage: 133.207 MB, CPU Usage: 237.00 %, Power Usage: 116.85169100000000000000 W
Memory Usage: 134.145 MB, CPU Usage: 227.00 %, Power Usage: 115.29670200000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 241.00 %, Power Usage: 116.78638300000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 215.00 %, Power Usage: 114.64716800000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 240.00 %, Power Usage: 116.86383600000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 209.00 %, Power Usage: 114.87726900000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 241.00 %, Power Usage: 116.74903000000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 207.00 %, Power Usage: 115.22004200000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 243.00 %, Power Usage: 116.51392300000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 216.00 %, Power Usage: 115.55488000000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 240.00 %, Power Usage: 116.03253900000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 227.00 %, Power Usage: 116.06434000000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 237.00 %, Power Usage: 115.66059200000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 236.00 %, Power Usage: 116.83661500000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 223.00 %, Power Usage: 115.13483800000000000000 W
Memory Usage: 126.156 MB, CPU Usage: 240.00 %, Power Usage: 117.13141300000000000000 W
Memory Usage: 127.094 MB, CPU Usage: 208.91 %, Power Usage: 114.82496300000000000000 W
Memory Usage: 127.094 MB, CPU Usage: 240.00 %, Power Usage: 117.36383500000000000000 W
Memory Usage: 128.656 MB, CPU Usage: 210.00 %, Power Usage: 115.75831000000000000000 W
Memory Usage: 93.0352 MB, CPU Usage: 242.00 %, Power Usage: 116.75910000000000000000 W
Memory Usage: 88.7812 MB, CPU Usage: 214.00 %, Power Usage: 115.84156200000000000000 W
Memory Usage: 128.781 MB, CPU Usage: 235.00 %, Power Usage: 116.13336900000000000000 W
Memory Usage: 136.594 MB, CPU Usage: 224.00 %, Power Usage: 115.72211700000000000000 W
Memory Usage: 102.414 MB, CPU Usage: 238.00 %, Power Usage: 116.10034900000000000000 W
Memory Usage: 88.6602 MB, CPU Usage: 237.00 %, Power Usage: 116.94861400000000000000 W
Memory Usage: 128.66 MB, CPU Usage: 228.00 %, Power Usage: 115.20154900000000000000 W
Memory Usage: 128.969 MB, CPU Usage: 239.00 %, Power Usage: 117.22418700000000000000 W
Memory Usage: 115.84 MB, CPU Usage: 212.00 %, Power Usage: 115.07667000000000000000 W
Memory Usage: 90.2109 MB, CPU Usage: 242.00 %, Power Usage: 117.15418100000000000000 W
Memory Usage: 138.336 MB, CPU Usage: 209.00 %, Power Usage: 115.26124000000000000000 W
Memory Usage: 130.332 MB, CPU Usage: 242.00 %, Power Usage: 117.07117200000000000000 W
Memory Usage: 129.078 MB, CPU Usage: 216.00 %, Power Usage: 115.92853600000000000000 W
Memory Usage: 100.324 MB, CPU Usage: 252.00 %, Power Usage: 116.92267500000000000000 W
Memory Usage: 91.1445 MB, CPU Usage: 227.00 %, Power Usage: 116.59577000000000000000 W
Memory Usage: 131.145 MB, CPU Usage: 240.00 %, Power Usage: 116.01960200000000000000 W
Memory Usage: 139.27 MB, CPU Usage: 238.00 %, Power Usage: 117.53595300000000000000 W
Memory Usage: 139.27 MB, CPU Usage: 220.00 %, Power Usage: 115.23914600000000000000 W
Memory Usage: 139.27 MB, CPU Usage: 242.00 %, Power Usage: 117.90778000000000000000 W
Memory Usage: 139.27 MB, CPU Usage: 201.00 %, Power Usage: 113.93964900000000000000 W
Memory Usage: 140.207 MB, CPU Usage: 236.00 %, Power Usage: 115.19239400000000000000 W
Memory Usage: 120.398 MB, CPU Usage: 208.00 %, Power Usage: 112.17354000000000000000 W
Memory Usage: 92.2695 MB, CPU Usage: 238.00 %, Power Usage: 116.00983500000000000000 W
Memory Usage: 132.27 MB, CPU Usage: 205.00 %, Power Usage: 112.57423600000000000000 W
Memory Usage: 132.266 MB, CPU Usage: 239.00 %, Power Usage: 115.80390200000000000000 W
Memory Usage: 121.449 MB, CPU Usage: 208.00 %, Power Usage: 113.02455200000000000000 W
Memory Usage: 93.082 MB, CPU Usage: 236.00 %, Power Usage: 115.81202100000000000000 W
