Memory Usage: 126.113 MB, CPU Usage: 160.00 %, Power Usage: 52.68559500000000000000 W
Memory Usage: 82.8672 MB, CPU Usage: 195.00 %, Power Usage: 103.89762200000000000000 W
Memory Usage: 126.309 MB, CPU Usage: 188.12 %, Power Usage: 103.03538100000000000000 W
Memory Usage: 126.555 MB, CPU Usage: 220.00 %, Power Usage: 109.09707200000000000000 W
Memory Usage: 134.418 MB, CPU Usage: 205.00 %, Power Usage: 106.87771700000000000000 W
Memory Usage: 135.25 MB, CPU Usage: 248.00 %, Power Usage: 113.53584200000000000000 W
Memory Usage: 135.301 MB, CPU Usage: 233.00 %, Power Usage: 111.94221900000000000000 W
Memory Usage: 130.352 MB, CPU Usage: 253.00 %, Power Usage: 115.49555300000000000000 W
Memory Usage: 135.719 MB, CPU Usage: 254.00 %, Power Usage: 116.68830000000000000000 W
Memory Usage: 135.77 MB, CPU Usage: 250.50 %, Power Usage: 116.96118800000000000000 W
Memory Usage: 136.066 MB, CPU Usage: 250.00 %, Power Usage: 115.80701500000000000000 W
Memory Usage: 128.117 MB, CPU Usage: 255.00 %, Power Usage: 116.79816300000000000000 W
Memory Usage: 133.172 MB, CPU Usage: 254.00 %, Power Usage: 116.88361200000000000000 W
Memory Usage: 128.223 MB, CPU Usage: 253.00 %, Power Usage: 116.94782100000000000000 W
Memory Usage: 128.152 MB, CPU Usage: 254.00 %, Power Usage: 116.89722200000000000000 W
Memory Usage: 136.711 MB, CPU Usage: 250.00 %, Power Usage: 116.94037500000000000000 W
Memory Usage: 128.949 MB, CPU Usage: 259.00 %, Power Usage: 117.19971200000000000000 W
Memory Usage: 136.691 MB, CPU Usage: 254.00 %, Power Usage: 116.95606100000000000000 W
Memory Usage: 128.742 MB, CPU Usage: 253.00 %, Power Usage: 117.23303700000000000000 W
Memory Usage: 128.797 MB, CPU Usage: 250.00 %, Power Usage: 115.84375800000000000000 W
Memory Usage: 128.727 MB, CPU Usage: 252.00 %, Power Usage: 117.09802800000000000000 W
Memory Usage: 128.848 MB, CPU Usage: 255.00 %, Power Usage: 115.19373600000000000000 W
Memory Usage: 137.027 MB, CPU Usage: 248.00 %, Power Usage: 116.24060900000000000000 W
Memory Usage: 129.266 MB, CPU Usage: 254.00 %, Power Usage: 114.84339500000000000000 W
Memory Usage: 137.008 MB, CPU Usage: 171.00 %, Power Usage: 112.02693500000000000000 W
Memory Usage: 129.004 MB, CPU Usage: 257.00 %, Power Usage: 114.26850500000000000000 W
Memory Usage: 137.18 MB, CPU Usage: 148.00 %, Power Usage: 110.69094000000000000000 W
Memory Usage: 135.859 MB, CPU Usage: 255.00 %, Power Usage: 116.37305400000000000000 W
Memory Usage: 137.16 MB, CPU Usage: 140.00 %, Power Usage: 110.23153000000000000000 W
Memory Usage: 129.156 MB, CPU Usage: 253.00 %, Power Usage: 110.69026900000000000000 W
Memory Usage: 129.207 MB, CPU Usage: 202.00 %, Power Usage: 113.56391800000000000000 W
Memory Usage: 129.328 MB, CPU Usage: 239.00 %, Power Usage: 106.33139200000000000000 W
Memory Usage: 129.328 MB, CPU Usage: 242.57 %, Power Usage: 119.18487600000000000000 W
Memory Usage: 129.328 MB, CPU Usage: 160.40 %, Power Usage: 100.85917700000000000000 W
Memory Usage: 129.762 MB, CPU Usage: 254.00 %, Power Usage: 115.89100000000000000000 W
Memory Usage: 130.004 MB, CPU Usage: 112.00 %, Power Usage: 107.24612500000000000000 W
Memory Usage: 130.316 MB, CPU Usage: 250.00 %, Power Usage: 107.58315900000000000000 W
Memory Usage: 138.25 MB, CPU Usage: 245.00 %, Power Usage: 116.37268800000000000000 W
Memory Usage: 130.367 MB, CPU Usage: 112.00 %, Power Usage: 98.82475900000000000000 W
Memory Usage: 133.805 MB, CPU Usage: 252.00 %, Power Usage: 114.56739500000000000000 W
Memory Usage: 138.23 MB, CPU Usage: 136.00 %, Power Usage: 110.15786000000000000000 W
Memory Usage: 130.227 MB, CPU Usage: 179.00 %, Power Usage: 100.21977600000000000000 W
Memory Usage: 140.227 MB, CPU Usage: 255.00 %, Power Usage: 115.99622400000000000000 W
Memory Usage: 132.152 MB, CPU Usage: 111.00 %, Power Usage: 106.01858800000000000000 W
Memory Usage: 132.152 MB, CPU Usage: 209.00 %, Power Usage: 101.59947100000000000000 W
Memory Usage: 132.066 MB, CPU Usage: 256.00 %, Power Usage: 116.74774800000000000000 W
Memory Usage: 138.871 MB, CPU Usage: 112.00 %, Power Usage: 103.38480700000000000000 W
Memory Usage: 140.121 MB, CPU Usage: 176.00 %, Power Usage: 100.84928900000000000000 W
Memory Usage: 131.926 MB, CPU Usage: 251.00 %, Power Usage: 116.17902500000000000000 W
Memory Usage: 131.977 MB, CPU Usage: 111.00 %, Power Usage: 105.25681000000000000000 W
Memory Usage: 131.977 MB, CPU Usage: 145.00 %, Power Usage: 99.59355600000000000000 W
Memory Usage: 139.789 MB, CPU Usage: 252.00 %, Power Usage: 114.39619200000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 150.00 %, Power Usage: 110.64656700000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 109.90 %, Power Usage: 98.08562600000000000000 W
Memory Usage: 131.836 MB, CPU Usage: 253.00 %, Power Usage: 111.04274500000000000000 W
Memory Usage: 131.887 MB, CPU Usage: 198.00 %, Power Usage: 113.80934000000000000000 W
Memory Usage: 132.008 MB, CPU Usage: 112.00 %, Power Usage: 98.45604600000000000000 W
Memory Usage: 132.008 MB, CPU Usage: 194.00 %, Power Usage: 101.67308000000000000000 W
Memory Usage: 139.941 MB, CPU Usage: 253.00 %, Power Usage: 116.99115600000000000000 W
Memory Usage: 132.18 MB, CPU Usage: 111.00 %, Power Usage: 103.00510800000000000000 W
Memory Usage: 132.18 MB, CPU Usage: 127.00 %, Power Usage: 99.02721200000000000000 W
Memory Usage: 132.18 MB, CPU Usage: 254.00 %, Power Usage: 109.44887700000000000000 W
Memory Usage: 131.918 MB, CPU Usage: 243.00 %, Power Usage: 116.05829700000000000000 W
Memory Usage: 132.039 MB, CPU Usage: 110.00 %, Power Usage: 98.64202000000000000000 W
Memory Usage: 132.039 MB, CPU Usage: 151.00 %, Power Usage: 99.16808100000000000000 W
Memory Usage: 132.473 MB, CPU Usage: 248.00 %, Power Usage: 115.09595800000000000000 W
Memory Usage: 132.211 MB, CPU Usage: 111.00 %, Power Usage: 107.70767100000000000000 W
Memory Usage: 132.211 MB, CPU Usage: 110.00 %, Power Usage: 98.57927700000000000000 W
Memory Usage: 132.211 MB, CPU Usage: 182.00 %, Power Usage: 101.20408600000000000000 W
Memory Usage: 140.145 MB, CPU Usage: 251.00 %, Power Usage: 117.43347600000000000000 W
Memory Usage: 132.07 MB, CPU Usage: 107.92 %, Power Usage: 106.89828600000000000000 W
Memory Usage: 132.07 MB, CPU Usage: 109.00 %, Power Usage: 98.59423100000000000000 W
Memory Usage: 132.07 MB, CPU Usage: 216.00 %, Power Usage: 102.94114200000000000000 W
Memory Usage: 141.879 MB, CPU Usage: 253.00 %, Power Usage: 117.08545400000000000000 W
Memory Usage: 133.93 MB, CPU Usage: 107.00 %, Power Usage: 102.64518400000000000000 W
Memory Usage: 133.93 MB, CPU Usage: 108.00 %, Power Usage: 98.05578000000000000000 W
Memory Usage: 133.93 MB, CPU Usage: 219.00 %, Power Usage: 102.53318500000000000000 W
Memory Usage: 134.676 MB, CPU Usage: 242.00 %, Power Usage: 119.22772200000000000000 W
Memory Usage: 134.797 MB, CPU Usage: 108.00 %, Power Usage: 106.89712600000000000000 W
Memory Usage: 134.797 MB, CPU Usage: 108.00 %, Power Usage: 98.99193400000000000000 W
Memory Usage: 134.797 MB, CPU Usage: 163.00 %, Power Usage: 101.41447500000000000000 W
Memory Usage: 142.609 MB, CPU Usage: 250.00 %, Power Usage: 118.27374400000000000000 W
Memory Usage: 134.727 MB, CPU Usage: 111.00 %, Power Usage: 103.34403500000000000000 W
Memory Usage: 134.727 MB, CPU Usage: 132.00 %, Power Usage: 99.41881300000000000000 W
Memory Usage: 134.727 MB, CPU Usage: 107.00 %, Power Usage: 98.77965400000000000000 W
Memory Usage: 134.727 MB, CPU Usage: 253.00 %, Power Usage: 111.33528700000000000000 W
Memory Usage: 142.594 MB, CPU Usage: 204.00 %, Power Usage: 114.58179900000000000000 W
Memory Usage: 134.711 MB, CPU Usage: 110.00 %, Power Usage: 98.40020000000000000000 W
Memory Usage: 134.711 MB, CPU Usage: 107.00 %, Power Usage: 99.05541000000000000000 W
Memory Usage: 134.711 MB, CPU Usage: 201.00 %, Power Usage: 102.13639600000000000000 W
Memory Usage: 142.645 MB, CPU Usage: 254.00 %, Power Usage: 117.90442300000000000000 W
Memory Usage: 134.598 MB, CPU Usage: 109.00 %, Power Usage: -262041.36024000000000000000 W
Memory Usage: 134.598 MB, CPU Usage: 129.00 %, Power Usage: 99.01744700000000000000 W
Memory Usage: 134.598 MB, CPU Usage: 107.00 %, Power Usage: 98.17559100000000000000 W
Memory Usage: 134.598 MB, CPU Usage: 254.00 %, Power Usage: 111.27663100000000000000 W
Memory Usage: 134.336 MB, CPU Usage: 204.00 %, Power Usage: 115.51581800000000000000 W
Memory Usage: 134.457 MB, CPU Usage: 109.00 %, Power Usage: 98.63994500000000000000 W
Memory Usage: 134.457 MB, CPU Usage: 119.00 %, Power Usage: 98.60381300000000000000 W
Memory Usage: 134.457 MB, CPU Usage: 134.00 %, Power Usage: 99.07744400000000000000 W
Memory Usage: 134.266 MB, CPU Usage: 253.00 %, Power Usage: 116.18622600000000000000 W
Memory Usage: 134.316 MB, CPU Usage: 111.00 %, Power Usage: 107.42275900000000000000 W
Memory Usage: 134.316 MB, CPU Usage: 106.93 %, Power Usage: 98.47460200000000000000 W
Memory Usage: 134.316 MB, CPU Usage: 127.00 %, Power Usage: 98.87547900000000000000 W
Memory Usage: 134.316 MB, CPU Usage: 191.00 %, Power Usage: 101.27800000000000000000 W
