Memory Usage: 37.8203 MB, CPU Usage: 117.00 %, Power Usage: 50.86541000000000000000 W
Memory Usage: 63.4414 MB, CPU Usage: 136.00 %, Power Usage: 101.62846200000000000000 W
Memory Usage: 86.5625 MB, CPU Usage: 111.00 %, Power Usage: 98.93279200000000000000 W
Memory Usage: 70.1406 MB, CPU Usage: 169.00 %, Power Usage: 105.41714900000000000000 W
Memory Usage: 102.328 MB, CPU Usage: 132.00 %, Power Usage: 98.79430300000000000000 W
Memory Usage: 101.883 MB, CPU Usage: 128.00 %, Power Usage: 101.02543700000000000000 W
Memory Usage: 71.75 MB, CPU Usage: 184.00 %, Power Usage: 111.35616000000000000000 W
Memory Usage: 78.4492 MB, CPU Usage: 105.00 %, Power Usage: 99.57158300000000000000 W
Memory Usage: 102.199 MB, CPU Usage: 170.00 %, Power Usage: 102.13316200000000000000 W
Memory Usage: 89.8945 MB, CPU Usage: 212.00 %, Power Usage: 108.48129000000000000000 W
Memory Usage: 78.8359 MB, CPU Usage: 137.00 %, Power Usage: 102.22727700000000000000 W
Memory Usage: 102.586 MB, CPU Usage: 198.00 %, Power Usage: 102.00498800000000000000 W
Memory Usage: 102.773 MB, CPU Usage: 198.00 %, Power Usage: 108.24947800000000000000 W
Memory Usage: 79.3438 MB, CPU Usage: 147.00 %, Power Usage: 102.53208700000000000000 W
Memory Usage: 103.094 MB, CPU Usage: 197.00 %, Power Usage: 102.15092200000000000000 W
Memory Usage: 102.969 MB, CPU Usage: 209.00 %, Power Usage: 109.50960800000000000000 W
Memory Usage: 111.094 MB, CPU Usage: 138.00 %, Power Usage: 105.78714400000000000000 W
Memory Usage: 111.094 MB, CPU Usage: 198.00 %, Power Usage: 102.60154300000000000000 W
Memory Usage: 111.406 MB, CPU Usage: 215.00 %, Power Usage: 109.49325000000000000000 W
Memory Usage: 111.406 MB, CPU Usage: 198.00 %, Power Usage: 109.00326100000000000000 W
Memory Usage: 111.406 MB, CPU Usage: 198.00 %, Power Usage: 103.14188800000000000000 W
Memory Usage: 112.344 MB, CPU Usage: 216.00 %, Power Usage: 109.84883900000000000000 W
Memory Usage: 112.344 MB, CPU Usage: 236.00 %, Power Usage: 110.19143000000000000000 W
Memory Usage: 112.344 MB, CPU Usage: 198.00 %, Power Usage: 103.89444800000000000000 W
Memory Usage: 112.656 MB, CPU Usage: 208.00 %, Power Usage: 108.94997800000000000000 W
Memory Usage: 112.656 MB, CPU Usage: 233.00 %, Power Usage: 110.46791700000000000000 W
Memory Usage: 112.656 MB, CPU Usage: 198.00 %, Power Usage: 100.57762400000000000000 W
Memory Usage: 97.3672 MB, CPU Usage: 210.00 %, Power Usage: 109.20235600000000000000 W
Memory Usage: 112.992 MB, CPU Usage: 206.00 %, Power Usage: 109.35213800000000000000 W
