Memory Usage: 6.25 MB, CPU Usage: 99.00 %, Power Usage: 50.72783700000000000000 W
Memory Usage: 84.1133 MB, CPU Usage: 181.00 %, Power Usage: 106.06253400000000000000 W
Memory Usage: 142.117 MB, CPU Usage: 204.00 %, Power Usage: 111.25191300000000000000 W
Memory Usage: 139.18 MB, CPU Usage: 203.00 %, Power Usage: 113.46717700000000000000 W
Memory Usage: 133.66 MB, CPU Usage: 237.00 %, Power Usage: 115.03333500000000000000 W
Memory Usage: 133.473 MB, CPU Usage: 227.00 %, Power Usage: 111.82564200000000000000 W
Memory Usage: 147.602 MB, CPU Usage: 248.00 %, Power Usage: 116.64594200000000000000 W
Memory Usage: 134.137 MB, CPU Usage: 259.00 %, Power Usage: 114.56324400000000000000 W
Memory Usage: 134.129 MB, CPU Usage: 259.00 %, Power Usage: 115.24976600000000000000 W
Memory Usage: 142.078 MB, CPU Usage: 264.00 %, Power Usage: 121.44616200000000000000 W
Memory Usage: 141.961 MB, CPU Usage: 265.00 %, Power Usage: 120.47466700000000000000 W
Memory Usage: 142.102 MB, CPU Usage: 266.00 %, Power Usage: 116.42560500000000000000 W
Memory Usage: 126.309 MB, CPU Usage: 265.35 %, Power Usage: 117.01245700000000000000 W
Memory Usage: 134.633 MB, CPU Usage: 257.00 %, Power Usage: 114.70118300000000000000 W
Memory Usage: 134.691 MB, CPU Usage: 250.50 %, Power Usage: 118.02008400000000000000 W
Memory Usage: 126.812 MB, CPU Usage: 252.00 %, Power Usage: 116.49622200000000000000 W
Memory Usage: 135.531 MB, CPU Usage: 254.00 %, Power Usage: 116.19996000000000000000 W
Memory Usage: 143.43 MB, CPU Usage: 261.00 %, Power Usage: 115.30756600000000000000 W
Memory Usage: 130.734 MB, CPU Usage: 257.00 %, Power Usage: 117.57397900000000000000 W
Memory Usage: 127.402 MB, CPU Usage: 216.00 %, Power Usage: 107.08016900000000000000 W
Memory Usage: 135.348 MB, CPU Usage: 258.00 %, Power Usage: 116.86023600000000000000 W
Memory Usage: 135.555 MB, CPU Usage: 268.00 %, Power Usage: 112.09413500000000000000 W
Memory Usage: 127.91 MB, CPU Usage: 199.00 %, Power Usage: 111.55281500000000000000 W
Memory Usage: 128.211 MB, CPU Usage: 260.00 %, Power Usage: 106.26089700000000000000 W
Memory Usage: 128.496 MB, CPU Usage: 270.00 %, Power Usage: 116.31061600000000000000 W
Memory Usage: 128.367 MB, CPU Usage: 258.00 %, Power Usage: 111.00057000000000000000 W
Memory Usage: 131.398 MB, CPU Usage: 194.00 %, Power Usage: 119.66387800000000000000 W
Memory Usage: 136.828 MB, CPU Usage: 218.00 %, Power Usage: 107.53396500000000000000 W
Memory Usage: 145.008 MB, CPU Usage: 267.00 %, Power Usage: 117.81311500000000000000 W
Memory Usage: 136.996 MB, CPU Usage: 155.00 %, Power Usage: 106.15426800000000000000 W
Memory Usage: 129.238 MB, CPU Usage: 274.00 %, Power Usage: 118.92254800000000000000 W
Memory Usage: 161.113 MB, CPU Usage: 113.00 %, Power Usage: 106.38803200000000000000 W
Memory Usage: 129.234 MB, CPU Usage: 251.00 %, Power Usage: 111.99867600000000000000 W
Memory Usage: 144.988 MB, CPU Usage: 244.00 %, Power Usage: 117.53412300000000000000 W
Memory Usage: 137.16 MB, CPU Usage: 157.00 %, Power Usage: 101.21373100000000000000 W
Memory Usage: 130.527 MB, CPU Usage: 266.00 %, Power Usage: 114.41633300000000000000 W
Memory Usage: 152.523 MB, CPU Usage: 113.00 %, Power Usage: 104.82553700000000000000 W
Memory Usage: 130.539 MB, CPU Usage: 190.00 %, Power Usage: 104.20371300000000000000 W
Memory Usage: 130.473 MB, CPU Usage: 258.00 %, Power Usage: 116.76941500000000000000 W
Memory Usage: 130.461 MB, CPU Usage: 110.00 %, Power Usage: 104.54361600000000000000 W
Memory Usage: 130.461 MB, CPU Usage: 223.00 %, Power Usage: 105.48337400000000000000 W
Memory Usage: 139.145 MB, CPU Usage: 261.00 %, Power Usage: 115.20942100000000000000 W
Memory Usage: 139.074 MB, CPU Usage: 110.00 %, Power Usage: 104.69181000000000000000 W
Memory Usage: 139.074 MB, CPU Usage: 195.00 %, Power Usage: 105.19028200000000000000 W
Memory Usage: 131.125 MB, CPU Usage: 256.00 %, Power Usage: 115.69465100000000000000 W
Memory Usage: 131.262 MB, CPU Usage: 112.00 %, Power Usage: 104.90183000000000000000 W
Memory Usage: 131.262 MB, CPU Usage: 124.75 %, Power Usage: 100.65483300000000000000 W
Memory Usage: 139.074 MB, CPU Usage: 256.00 %, Power Usage: 114.88294600000000000000 W
Memory Usage: 131.316 MB, CPU Usage: 112.00 %, Power Usage: 106.19925200000000000000 W
Memory Usage: 131.316 MB, CPU Usage: 127.00 %, Power Usage: 101.56077400000000000000 W
Memory Usage: 132.254 MB, CPU Usage: 253.00 %, Power Usage: 109.20388400000000000000 W
Memory Usage: 132.055 MB, CPU Usage: 185.00 %, Power Usage: 112.67164800000000000000 W
Memory Usage: 132.176 MB, CPU Usage: 129.00 %, Power Usage: 100.76274200000000000000 W
Memory Usage: 132.176 MB, CPU Usage: 137.00 %, Power Usage: 103.71940000000000000000 W
Memory Usage: 139.988 MB, CPU Usage: 256.00 %, Power Usage: 114.29139500000000000000 W
Memory Usage: 140.113 MB, CPU Usage: 179.00 %, Power Usage: 113.66401600000000000000 W
Memory Usage: 154.176 MB, CPU Usage: 108.00 %, Power Usage: 100.12578100000000000000 W
Memory Usage: 154.176 MB, CPU Usage: 258.00 %, Power Usage: 106.82931500000000000000 W
Memory Usage: 132.359 MB, CPU Usage: 215.00 %, Power Usage: 116.87274900000000000000 W
Memory Usage: 132.164 MB, CPU Usage: 111.00 %, Power Usage: 101.32322700000000000000 W
Memory Usage: 132.164 MB, CPU Usage: 107.00 %, Power Usage: 103.38504900000000000000 W
Memory Usage: 132.164 MB, CPU Usage: 256.00 %, Power Usage: 111.54677300000000000000 W
Memory Usage: 140.031 MB, CPU Usage: 231.00 %, Power Usage: 115.56592700000000000000 W
Memory Usage: 132.148 MB, CPU Usage: 111.00 %, Power Usage: 100.19359200000000000000 W
Memory Usage: 132.148 MB, CPU Usage: 106.00 %, Power Usage: 100.77519400000000000000 W
Memory Usage: 132.148 MB, CPU Usage: 262.00 %, Power Usage: 109.69899800000000000000 W
Memory Usage: 132.137 MB, CPU Usage: 143.00 %, Power Usage: 109.19076000000000000000 W
Memory Usage: 139.637 MB, CPU Usage: 112.00 %, Power Usage: 101.23295700000000000000 W
Memory Usage: 131.633 MB, CPU Usage: 105.94 %, Power Usage: 101.09068400000000000000 W
Memory Usage: 131.633 MB, CPU Usage: 260.00 %, Power Usage: 110.61244800000000000000 W
Memory Usage: 131.496 MB, CPU Usage: 197.00 %, Power Usage: 111.61049300000000000000 W
Memory Usage: 131.305 MB, CPU Usage: 111.00 %, Power Usage: 100.83903600000000000000 W
Memory Usage: 131.305 MB, CPU Usage: 106.00 %, Power Usage: 102.46940400000000000000 W
