2025/01/10 17:29:05.376, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:05.380, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:06.415, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:06.418, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:07.456, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:07.460, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:08.494, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:08.498, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:09.534, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:09.537, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:10.574, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:10.577, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:11.613, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:11.617, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:12.654, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:12.657, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:13.692, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:13.695, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:29:14.851, 25.02 W, 0 %, 15 MiB, 16384 MiB
2025/01/10 17:29:14.854, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:15.897, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:29:15.900, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:16.936, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:29:16.939, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:17.976, 34.19 W, 84 %, 1195 MiB, 16384 MiB
2025/01/10 17:29:17.979, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:19.015, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:29:19.018, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:20.053, 34.22 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:29:20.057, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:21.092, 34.46 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:21.096, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:22.133, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:22.137, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:23.173, 92.62 W, 0 %, 1249 MiB, 16384 MiB
2025/01/10 17:29:23.177, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:24.211, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:24.215, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:25.251, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:25.255, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:26.292, 34.46 W, 1 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:26.295, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:27.330, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:27.334, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:28.370, 88.34 W, 68 %, 1249 MiB, 16384 MiB
2025/01/10 17:29:28.374, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:29.409, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:29.412, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:30.448, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:29:30.451, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:31.488, 34.44 W, 8 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:31.493, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:32.527, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:32.533, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:33.569, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:33.573, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:34.609, 83.82 W, 57 %, 1251 MiB, 16384 MiB
2025/01/10 17:29:34.612, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:35.648, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:35.654, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:36.691, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:36.694, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:37.731, 34.70 W, 100 %, 1225 MiB, 16384 MiB
2025/01/10 17:29:37.735, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:38.772, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:38.776, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:39.813, 34.22 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:39.816, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:40.855, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:40.859, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:41.895, 34.46 W, 0 %, 1199 MiB, 16384 MiB
2025/01/10 17:29:41.898, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:42.935, 89.02 W, 61 %, 1251 MiB, 16384 MiB
2025/01/10 17:29:42.938, 26.84 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:43.974, 34.22 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 17:29:43.978, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:29:45.017, 34.19 W, 0 %, 1201 MiB, 16384 MiB
2025/01/10 17:29:45.020, 26.88 W, 0 %, 7 MiB, 16384 MiB
