2025/01/10 17:07:08.530, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:08.534, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:09.569, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:09.572, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:10.608, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:10.612, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:11.648, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:11.651, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:12.687, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:12.690, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:13.727, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:13.730, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:14.767, 24.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:14.770, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:15.808, 24.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:15.815, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:16.852, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:16.856, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:17.903, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:17.906, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:18.943, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:18.947, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:19.980, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:19.984, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:21.019, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:21.022, 26.64 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 17:07:22.068, 76.68 W, 76 %, 623 MiB, 16384 MiB
2025/01/10 17:07:22.074, 26.62 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:23.115, 33.95 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:23.118, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:24.155, 33.97 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:24.159, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:25.199, 30.35 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:25.203, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:26.244, 75.95 W, 54 %, 1247 MiB, 16384 MiB
2025/01/10 17:07:26.248, 26.62 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:27.288, 33.97 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:27.291, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:28.333, 33.97 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:28.336, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:29.375, 33.97 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 17:07:29.378, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:30.416, 34.70 W, 76 %, 1223 MiB, 16384 MiB
2025/01/10 17:07:30.419, 26.64 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:31.461, 34.22 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 17:07:31.464, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 17:07:32.503, 33.97 W, 0 %, 1197 MiB, 16384 MiB
