Memory Usage: 168.676 MB, CPU Usage: 100.00 %, Power Usage: 60.02383300000000000000 W
Memory Usage: 243.988 MB, CPU Usage: 168.00 %, Power Usage: 116.74121800000000000000 W
Memory Usage: 469.301 MB, CPU Usage: 100.00 %, Power Usage: 112.25483900000000000000 W
Memory Usage: 536.383 MB, CPU Usage: 187.00 %, Power Usage: 120.49688500000000000000 W
Memory Usage: 565.41 MB, CPU Usage: 126.00 %, Power Usage: 113.43550000000000000000 W
Memory Usage: 610.23 MB, CPU Usage: 152.00 %, Power Usage: 121.99468300000000000000 W
Memory Usage: 662.656 MB, CPU Usage: 169.00 %, Power Usage: 114.27009300000000000000 W
Memory Usage: 696.324 MB, CPU Usage: 198.00 %, Power Usage: 123.24913500000000000000 W
Memory Usage: 764.395 MB, CPU Usage: 198.00 %, Power Usage: 117.49829500000000000000 W
Memory Usage: 781.926 MB, CPU Usage: 198.00 %, Power Usage: 119.35858100000000000000 W
Memory Usage: 825.215 MB, CPU Usage: 197.00 %, Power Usage: 123.09306900000000000000 W
Memory Usage: 870.438 MB, CPU Usage: 194.00 %, Power Usage: 122.49431500000000000000 W
Memory Usage: 900.207 MB, CPU Usage: 198.00 %, Power Usage: 125.15385400000000000000 W
Memory Usage: 961.219 MB, CPU Usage: 174.00 %, Power Usage: 122.39757600000000000000 W
Memory Usage: 993.871 MB, CPU Usage: 197.00 %, Power Usage: 126.19004500000000000000 W
Memory Usage: 1046.59 MB, CPU Usage: 198.00 %, Power Usage: 127.10081000000000000000 W
Memory Usage: 1076.64 MB, CPU Usage: 198.00 %, Power Usage: 123.39250600000000000000 W
Memory Usage: 1120.23 MB, CPU Usage: 198.00 %, Power Usage: 119.46716300000000000000 W
Memory Usage: 1159.68 MB, CPU Usage: 198.00 %, Power Usage: 119.01654100000000000000 W
Memory Usage: 1200.91 MB, CPU Usage: 198.00 %, Power Usage: 119.31604000000000000000 W
Memory Usage: 1244.26 MB, CPU Usage: 197.00 %, Power Usage: 121.87084300000000000000 W
Memory Usage: 1286.1 MB, CPU Usage: 198.00 %, Power Usage: 125.58012200000000000000 W
Memory Usage: 1276.14 MB, CPU Usage: 199.00 %, Power Usage: 124.69395600000000000000 W
Memory Usage: 1297.02 MB, CPU Usage: 199.00 %, Power Usage: 124.98271200000000000000 W
Memory Usage: 1278.39 MB, CPU Usage: 199.00 %, Power Usage: 124.58836500000000000000 W
Memory Usage: 1280.23 MB, CPU Usage: 197.00 %, Power Usage: 124.97068900000000000000 W
Memory Usage: 1290.36 MB, CPU Usage: 197.00 %, Power Usage: 125.13993800000000000000 W
Memory Usage: 1284.91 MB, CPU Usage: 198.00 %, Power Usage: 124.64042800000000000000 W
Memory Usage: 1288.92 MB, CPU Usage: 197.00 %, Power Usage: 126.28111000000000000000 W
Memory Usage: 1330.18 MB, CPU Usage: 198.00 %, Power Usage: 124.86528100000000000000 W
Memory Usage: 1297.76 MB, CPU Usage: 198.00 %, Power Usage: 126.63828700000000000000 W
Memory Usage: 1289.96 MB, CPU Usage: 199.00 %, Power Usage: 126.04356100000000000000 W
Memory Usage: 1316.22 MB, CPU Usage: 200.00 %, Power Usage: 125.22081100000000000000 W
Memory Usage: 1357.47 MB, CPU Usage: 197.00 %, Power Usage: 124.94670100000000000000 W
Memory Usage: 1359.8 MB, CPU Usage: 197.00 %, Power Usage: 124.24827800000000000000 W
Memory Usage: 1278.76 MB, CPU Usage: 200.00 %, Power Usage: 124.98960900000000000000 W
Memory Usage: 1310.95 MB, CPU Usage: 199.00 %, Power Usage: 124.87992900000000000000 W
Memory Usage: 1308.89 MB, CPU Usage: 200.00 %, Power Usage: 125.00340300000000000000 W
