Memory Usage: 155.551 MB, CPU Usage: 100.00 %, Power Usage: 59.08175800000000000000 W
Memory Usage: 158.051 MB, CPU Usage: 100.00 %, Power Usage: 113.66761600000000000000 W
Memory Usage: 158.363 MB, CPU Usage: 100.00 %, Power Usage: 110.76680600000000000000 W
Memory Usage: 158.988 MB, CPU Usage: 100.00 %, Power Usage: 119.64489700000000000000 W
Memory Usage: 159.926 MB, CPU Usage: 100.00 %, Power Usage: 115.32599800000000000000 W
Memory Usage: 160.551 MB, CPU Usage: 101.00 %, Power Usage: 114.88746300000000000000 W
Memory Usage: 161.488 MB, CPU Usage: 100.00 %, Power Usage: 116.97345500000000000000 W
Memory Usage: 162.113 MB, CPU Usage: 99.00 %, Power Usage: 113.29267800000000000000 W
Memory Usage: 163.051 MB, CPU Usage: 101.00 %, Power Usage: 113.82203600000000000000 W
Memory Usage: 163.676 MB, CPU Usage: 100.00 %, Power Usage: 115.31000800000000000000 W
Memory Usage: 164.613 MB, CPU Usage: 101.00 %, Power Usage: 111.35799100000000000000 W
Memory Usage: 165.238 MB, CPU Usage: 100.00 %, Power Usage: 114.72315600000000000000 W
Memory Usage: 166.176 MB, CPU Usage: 100.00 %, Power Usage: 111.84993400000000000000 W
Memory Usage: 166.801 MB, CPU Usage: 100.00 %, Power Usage: 112.59059200000000000000 W
Memory Usage: 167.738 MB, CPU Usage: 101.00 %, Power Usage: 113.41377300000000000000 W
Memory Usage: 168.988 MB, CPU Usage: 101.00 %, Power Usage: 111.67592200000000000000 W
Memory Usage: 169.613 MB, CPU Usage: 100.00 %, Power Usage: 114.52125300000000000000 W
Memory Usage: 170.551 MB, CPU Usage: 100.00 %, Power Usage: 113.35560500000000000000 W
Memory Usage: 171.176 MB, CPU Usage: 101.00 %, Power Usage: 111.96712000000000000000 W
Memory Usage: 171.801 MB, CPU Usage: 100.00 %, Power Usage: 116.41065300000000000000 W
Memory Usage: 172.426 MB, CPU Usage: 99.00 %, Power Usage: 111.81917100000000000000 W
Memory Usage: 173.051 MB, CPU Usage: 100.00 %, Power Usage: 113.53144800000000000000 W
Memory Usage: 173.676 MB, CPU Usage: 100.00 %, Power Usage: 118.38830800000000000000 W
Memory Usage: 174.301 MB, CPU Usage: 100.00 %, Power Usage: 111.91664400000000000000 W
Memory Usage: 175.238 MB, CPU Usage: 101.00 %, Power Usage: 114.76533100000000000000 W
Memory Usage: 175.863 MB, CPU Usage: 100.00 %, Power Usage: 113.25264000000000000000 W
Memory Usage: 176.176 MB, CPU Usage: 100.00 %, Power Usage: 112.73957900000000000000 W
Memory Usage: 176.801 MB, CPU Usage: 100.00 %, Power Usage: 117.84698900000000000000 W
Memory Usage: 177.426 MB, CPU Usage: 100.00 %, Power Usage: 112.06691300000000000000 W
Memory Usage: 178.051 MB, CPU Usage: 100.00 %, Power Usage: 113.31666500000000000000 W
Memory Usage: 178.676 MB, CPU Usage: 99.00 %, Power Usage: 114.40034300000000000000 W
Memory Usage: 179.613 MB, CPU Usage: 100.00 %, Power Usage: 112.54957700000000000000 W
Memory Usage: 180.551 MB, CPU Usage: 100.00 %, Power Usage: 118.03064300000000000000 W
