2025/01/10 15:52:22.535, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:22.538, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:23.578, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:23.582, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:24.620, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:24.623, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:25.660, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:25.663, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:26.699, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:26.702, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:27.741, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:27.744, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:28.782, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:28.786, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:29.825, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:29.829, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:30.867, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:30.873, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:31.907, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:31.912, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:32.947, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:32.950, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 15:52:33.988, 34.44 W, 1 %, 1195 MiB, 16384 MiB
2025/01/10 15:52:33.994, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:52:35.030, 34.44 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 15:52:35.033, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:52:36.070, 35.17 W, 100 %, 1221 MiB, 16384 MiB
2025/01/10 15:52:36.073, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:52:37.112, 34.44 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 15:52:37.116, 26.86 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:52:38.152, 34.46 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 15:52:38.155, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 15:52:39.191, 34.44 W, 0 %, 1197 MiB, 16384 MiB
2025/01/10 15:52:39.195, 26.86 W, 0 %, 7 MiB, 16384 MiB
