Memory Usage: 482.113 MB, CPU Usage: 103.00 %, Power Usage: 64.99586500000000000000 W
Memory Usage: 544.121 MB, CPU Usage: 159.00 %, Power Usage: 126.42954700000000000000 W
Memory Usage: 610.117 MB, CPU Usage: 198.00 %, Power Usage: 121.86663200000000000000 W
Memory Usage: 656.207 MB, CPU Usage: 156.00 %, Power Usage: 117.80872000000000000000 W
Memory Usage: 708.93 MB, CPU Usage: 199.00 %, Power Usage: 123.13774500000000000000 W
Memory Usage: 771.32 MB, CPU Usage: 199.00 %, Power Usage: 123.64488700000000000000 W
Memory Usage: 821.758 MB, CPU Usage: 199.00 %, Power Usage: 124.57609700000000000000 W
Memory Usage: 865.402 MB, CPU Usage: 198.00 %, Power Usage: 126.36222500000000000000 W
Memory Usage: 932.301 MB, CPU Usage: 199.00 %, Power Usage: 123.36919100000000000000 W
Memory Usage: 976.793 MB, CPU Usage: 197.00 %, Power Usage: 124.30845900000000000000 W
Memory Usage: 1036.05 MB, CPU Usage: 197.00 %, Power Usage: 124.72001700000000000000 W
Memory Usage: 1074.53 MB, CPU Usage: 199.00 %, Power Usage: 124.60930100000000000000 W
Memory Usage: 1131.63 MB, CPU Usage: 199.00 %, Power Usage: 124.88810800000000000000 W
Memory Usage: 1181.69 MB, CPU Usage: 194.00 %, Power Usage: 126.92093900000000000000 W
Memory Usage: 1246.3 MB, CPU Usage: 199.00 %, Power Usage: 125.77018600000000000000 W
Memory Usage: 1264.42 MB, CPU Usage: 198.00 %, Power Usage: 124.50218400000000000000 W
Memory Usage: 1285.03 MB, CPU Usage: 199.00 %, Power Usage: 125.84489300000000000000 W
Memory Usage: 1320.34 MB, CPU Usage: 199.00 %, Power Usage: 123.73808700000000000000 W
Memory Usage: 1316.73 MB, CPU Usage: 198.00 %, Power Usage: 123.70970400000000000000 W
Memory Usage: 1354.55 MB, CPU Usage: 200.00 %, Power Usage: 122.00805000000000000000 W
Memory Usage: 1275 MB, CPU Usage: 199.00 %, Power Usage: 122.01708300000000000000 W
Memory Usage: 1292.19 MB, CPU Usage: 198.00 %, Power Usage: 122.35955000000000000000 W
Memory Usage: 1326.26 MB, CPU Usage: 199.00 %, Power Usage: 126.07548300000000000000 W
Memory Usage: 1321.04 MB, CPU Usage: 199.00 %, Power Usage: 124.53575300000000000000 W
Memory Usage: 1343.23 MB, CPU Usage: 200.00 %, Power Usage: 125.47215100000000000000 W
Memory Usage: 1383.23 MB, CPU Usage: 198.00 %, Power Usage: 123.97752700000000000000 W
Memory Usage: 1380.82 MB, CPU Usage: 200.00 %, Power Usage: 125.81047000000000000000 W
Memory Usage: 1415.82 MB, CPU Usage: 195.00 %, Power Usage: 125.47148000000000000000 W
Memory Usage: 1328.09 MB, CPU Usage: 193.00 %, Power Usage: 129.31815000000000000000 W
Memory Usage: 1293.23 MB, CPU Usage: 198.00 %, Power Usage: 128.08445000000000000000 W
Memory Usage: 1317.98 MB, CPU Usage: 200.00 %, Power Usage: 126.28147600000000000000 W
Memory Usage: 1312.49 MB, CPU Usage: 200.00 %, Power Usage: 126.53501600000000000000 W
Memory Usage: 1324.99 MB, CPU Usage: 197.00 %, Power Usage: 124.30510200000000000000 W
Memory Usage: 1355.94 MB, CPU Usage: 198.00 %, Power Usage: 124.35984900000000000000 W
Memory Usage: 1345.14 MB, CPU Usage: 200.00 %, Power Usage: 126.17552000000000000000 W
Memory Usage: 1363.89 MB, CPU Usage: 199.00 %, Power Usage: 127.06919300000000000000 W
Memory Usage: 1392.95 MB, CPU Usage: 198.00 %, Power Usage: 126.84397500000000000000 W
Memory Usage: 1380.9 MB, CPU Usage: 199.00 %, Power Usage: 123.61674900000000000000 W
Memory Usage: 1405.86 MB, CPU Usage: 199.00 %, Power Usage: 126.43510100000000000000 W
Memory Usage: 1406.3 MB, CPU Usage: 199.00 %, Power Usage: 125.89567400000000000000 W
Memory Usage: 1421.93 MB, CPU Usage: 198.00 %, Power Usage: 126.23557800000000000000 W
Memory Usage: 1456.26 MB, CPU Usage: 197.03 %, Power Usage: 124.64830100000000000000 W
Memory Usage: 1455.15 MB, CPU Usage: 200.00 %, Power Usage: 131.60440000000000000000 W
Memory Usage: 1496.4 MB, CPU Usage: 193.00 %, Power Usage: 126.53190200000000000000 W
Memory Usage: 1471.77 MB, CPU Usage: 196.00 %, Power Usage: 124.93693600000000000000 W
