Memory Usage: 155.551 MB, CPU Usage: 100.00 %, Power Usage: 60.77779900000000000000 W
Memory Usage: 158.051 MB, CPU Usage: 98.02 %, Power Usage: 121.59960300000000000000 W
Memory Usage: 158.363 MB, CPU Usage: 100.00 %, Power Usage: 111.19417300000000000000 W
Memory Usage: 158.363 MB, CPU Usage: 100.00 %, Power Usage: 111.59059600000000000000 W
Memory Usage: 159.301 MB, CPU Usage: 101.00 %, Power Usage: 110.89430900000000000000 W
Memory Usage: 160.238 MB, CPU Usage: 100.00 %, Power Usage: 107.57321100000000000000 W
Memory Usage: 161.176 MB, CPU Usage: 99.00 %, Power Usage: 111.06117800000000000000 W
Memory Usage: 162.113 MB, CPU Usage: 101.00 %, Power Usage: 107.90603400000000000000 W
Memory Usage: 163.363 MB, CPU Usage: 100.00 %, Power Usage: 108.39687900000000000000 W
Memory Usage: 163.988 MB, CPU Usage: 100.00 %, Power Usage: 110.35939800000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 101.00 %, Power Usage: 107.58731000000000000000 W
Memory Usage: 165.863 MB, CPU Usage: 99.00 %, Power Usage: 111.51320300000000000000 W
Memory Usage: 166.488 MB, CPU Usage: 100.00 %, Power Usage: 113.77619700000000000000 W
Memory Usage: 167.426 MB, CPU Usage: 100.00 %, Power Usage: 111.38130800000000000000 W
Memory Usage: 168.051 MB, CPU Usage: 100.00 %, Power Usage: 115.32978300000000000000 W
Memory Usage: 169.301 MB, CPU Usage: 99.00 %, Power Usage: 113.73866100000000000000 W
Memory Usage: 169.926 MB, CPU Usage: 99.01 %, Power Usage: 115.57056600000000000000 W
Memory Usage: 170.551 MB, CPU Usage: 100.00 %, Power Usage: 115.91565700000000000000 W
Memory Usage: 171.176 MB, CPU Usage: 100.00 %, Power Usage: 112.77809300000000000000 W
Memory Usage: 172.113 MB, CPU Usage: 100.00 %, Power Usage: 113.84022400000000000000 W
Memory Usage: 172.426 MB, CPU Usage: 100.00 %, Power Usage: 112.52955800000000000000 W
Memory Usage: 173.051 MB, CPU Usage: 100.00 %, Power Usage: 111.14876300000000000000 W
Memory Usage: 173.676 MB, CPU Usage: 98.02 %, Power Usage: 116.74994600000000000000 W
Memory Usage: 174.301 MB, CPU Usage: 101.00 %, Power Usage: 110.46071600000000000000 W
Memory Usage: 174.926 MB, CPU Usage: 101.00 %, Power Usage: 110.85756400000000000000 W
Memory Usage: 175.551 MB, CPU Usage: 99.00 %, Power Usage: 114.29353100000000000000 W
Memory Usage: 176.488 MB, CPU Usage: 101.00 %, Power Usage: 110.60286600000000000000 W
Memory Usage: 177.113 MB, CPU Usage: 100.00 %, Power Usage: 114.97358300000000000000 W
Memory Usage: 177.738 MB, CPU Usage: 100.00 %, Power Usage: 112.80366600000000000000 W
Memory Usage: 178.363 MB, CPU Usage: 100.00 %, Power Usage: 110.73830400000000000000 W
Memory Usage: 178.988 MB, CPU Usage: 99.00 %, Power Usage: 114.50812900000000000000 W
Memory Usage: 179.613 MB, CPU Usage: 100.00 %, Power Usage: 110.49105100000000000000 W
Memory Usage: 180.238 MB, CPU Usage: 100.00 %, Power Usage: 113.57783400000000000000 W
Memory Usage: 181.488 MB, CPU Usage: 100.00 %, Power Usage: 114.11005900000000000000 W
Memory Usage: 182.738 MB, CPU Usage: 100.00 %, Power Usage: 110.36013000000000000000 W
Memory Usage: 183.051 MB, CPU Usage: 99.00 %, Power Usage: 114.72236200000000000000 W
Memory Usage: 183.676 MB, CPU Usage: 101.00 %, Power Usage: 110.78090600000000000000 W
Memory Usage: 184.301 MB, CPU Usage: 100.00 %, Power Usage: 113.85432300000000000000 W
Memory Usage: 184.926 MB, CPU Usage: 99.00 %, Power Usage: 114.17390200000000000000 W
Memory Usage: 185.551 MB, CPU Usage: 100.00 %, Power Usage: 110.24080600000000000000 W
Memory Usage: 185.863 MB, CPU Usage: 100.00 %, Power Usage: 114.43092100000000000000 W
Memory Usage: 186.488 MB, CPU Usage: 100.00 %, Power Usage: 110.76882000000000000000 W
Memory Usage: 187.113 MB, CPU Usage: 100.00 %, Power Usage: 112.71357900000000000000 W
Memory Usage: 187.738 MB, CPU Usage: 100.00 %, Power Usage: 116.13758100000000000000 W
Memory Usage: 188.363 MB, CPU Usage: 99.00 %, Power Usage: 110.26473300000000000000 W
Memory Usage: 188.988 MB, CPU Usage: 100.00 %, Power Usage: 112.21388400000000000000 W
Memory Usage: 189.301 MB, CPU Usage: 99.01 %, Power Usage: 113.71388200000000000000 W
Memory Usage: 189.926 MB, CPU Usage: 100.00 %, Power Usage: 110.26869900000000000000 W
Memory Usage: 190.551 MB, CPU Usage: 100.00 %, Power Usage: 115.93274800000000000000 W
Memory Usage: 191.176 MB, CPU Usage: 99.01 %, Power Usage: 111.08138100000000000000 W
Memory Usage: 191.801 MB, CPU Usage: 100.00 %, Power Usage: 111.17836500000000000000 W
Memory Usage: 192.113 MB, CPU Usage: 99.00 %, Power Usage: 112.14302400000000000000 W
Memory Usage: 192.738 MB, CPU Usage: 100.00 %, Power Usage: 112.41493400000000000000 W
Memory Usage: 193.363 MB, CPU Usage: 99.00 %, Power Usage: 114.59168600000000000000 W
Memory Usage: 193.676 MB, CPU Usage: 100.00 %, Power Usage: 112.77870400000000000000 W
Memory Usage: 194.301 MB, CPU Usage: 100.00 %, Power Usage: 110.32588900000000000000 W
Memory Usage: 194.926 MB, CPU Usage: 100.00 %, Power Usage: 113.11268600000000000000 W
Memory Usage: 195.238 MB, CPU Usage: 100.00 %, Power Usage: 111.50276600000000000000 W
Memory Usage: 195.863 MB, CPU Usage: 99.00 %, Power Usage: 114.26991100000000000000 W
Memory Usage: 196.176 MB, CPU Usage: 100.00 %, Power Usage: 113.68238700000000000000 W
