2025/01/10 14:54:44.472, 25.49 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:44.476, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:45.514, 25.49 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:45.518, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:46.557, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:46.560, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:47.600, 25.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:47.603, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:48.642, 25.27 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:48.645, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:49.686, 25.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:49.691, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:50.731, 25.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:50.734, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:51.774, 25.51 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:51.777, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:52.815, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:52.819, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:53.858, 25.26 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:53.861, 27.37 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:54.900, 25.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:54.904, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:55.945, 25.25 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:55.948, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/10 14:54:56.989, 29.85 W, 0 %, 23 MiB, 16384 MiB
2025/01/10 14:54:56.992, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:54:58.031, 34.94 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:54:58.035, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:54:59.075, 34.94 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:54:59.079, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:00.119, 34.92 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:00.122, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:01.169, 34.70 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:01.173, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:02.212, 34.70 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:02.216, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:03.253, 34.70 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:03.257, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:04.294, 34.68 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:04.298, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:05.335, 88.59 W, 14 %, 1247 MiB, 16384 MiB
2025/01/10 14:55:05.338, 27.35 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:06.377, 34.68 W, 0 %, 1195 MiB, 16384 MiB
2025/01/10 14:55:06.380, 27.37 W, 0 %, 7 MiB, 16384 MiB
2025/01/10 14:55:07.419, 34.70 W, 0 %, 1195 MiB, 16384 MiB
