Memory Usage: 100.441 MB, CPU Usage: 174.00 %, Power Usage: 54.48637200000000000000 W
Memory Usage: 70.3594 MB, CPU Usage: 125.00 %, Power Usage: 103.97538000000000000000 W
Memory Usage: 110.359 MB, CPU Usage: 151.00 %, Power Usage: 108.75429900000000000000 W
Memory Usage: 100.707 MB, CPU Usage: 170.00 %, Power Usage: 101.20671100000000000000 W
Memory Usage: 102.773 MB, CPU Usage: 133.66 %, Power Usage: 107.94143600000000000000 W
Memory Usage: 79.168 MB, CPU Usage: 221.00 %, Power Usage: 110.18813300000000000000 W
Memory Usage: 98.418 MB, CPU Usage: 145.00 %, Power Usage: 104.28037300000000000000 W
Memory Usage: 103.289 MB, CPU Usage: 210.00 %, Power Usage: 110.39839900000000000000 W
Memory Usage: 111.414 MB, CPU Usage: 225.00 %, Power Usage: 109.04452100000000000000 W
Memory Usage: 111.414 MB, CPU Usage: 175.00 %, Power Usage: 111.65657400000000000000 W
Memory Usage: 119.227 MB, CPU Usage: 223.00 %, Power Usage: 115.68738700000000000000 W
Memory Usage: 111.539 MB, CPU Usage: 223.00 %, Power Usage: 114.50013500000000000000 W
Memory Usage: 87.582 MB, CPU Usage: 221.00 %, Power Usage: 116.09473300000000000000 W
Memory Usage: 120.395 MB, CPU Usage: 235.00 %, Power Usage: 117.00049500000000000000 W
Memory Usage: 120.395 MB, CPU Usage: 220.00 %, Power Usage: 116.12140700000000000000 W
Memory Usage: 120.395 MB, CPU Usage: 229.00 %, Power Usage: 117.81579900000000000000 W
Memory Usage: 120.395 MB, CPU Usage: 223.00 %, Power Usage: 116.06275200000000000000 W
Memory Usage: 120.707 MB, CPU Usage: 222.00 %, Power Usage: 117.20838000000000000000 W
Memory Usage: 120.707 MB, CPU Usage: 242.00 %, Power Usage: 117.26923000000000000000 W
Memory Usage: 121.02 MB, CPU Usage: 222.00 %, Power Usage: 116.02771900000000000000 W
Memory Usage: 113.227 MB, CPU Usage: 239.00 %, Power Usage: 117.50256800000000000000 W
Memory Usage: 89.5469 MB, CPU Usage: 222.00 %, Power Usage: 116.17786300000000000000 W
Memory Usage: 122.359 MB, CPU Usage: 248.00 %, Power Usage: 115.65687000000000000000 W
Memory Usage: 122.359 MB, CPU Usage: 230.00 %, Power Usage: 115.20923900000000000000 W
Memory Usage: 123.297 MB, CPU Usage: 237.00 %, Power Usage: 116.21222700000000000000 W
Memory Usage: 123.297 MB, CPU Usage: 223.00 %, Power Usage: 110.91139800000000000000 W
Memory Usage: 115.453 MB, CPU Usage: 232.00 %, Power Usage: 111.71724300000000000000 W
Memory Usage: 91.5352 MB, CPU Usage: 224.00 %, Power Usage: 111.33992500000000000000 W
Memory Usage: 99.8477 MB, CPU Usage: 235.00 %, Power Usage: 111.58223400000000000000 W
Memory Usage: 115.66 MB, CPU Usage: 224.00 %, Power Usage: 110.03426400000000000000 W
Memory Usage: 115.848 MB, CPU Usage: 238.00 %, Power Usage: 111.33620200000000000000 W
Memory Usage: 91.8516 MB, CPU Usage: 223.00 %, Power Usage: 110.74556600000000000000 W
Memory Usage: 91.7266 MB, CPU Usage: 234.65 %, Power Usage: 111.39681000000000000000 W
Memory Usage: 115.664 MB, CPU Usage: 223.00 %, Power Usage: 111.24446500000000000000 W
Memory Usage: 115.93 MB, CPU Usage: 237.00 %, Power Usage: 111.39797000000000000000 W
Memory Usage: 117.137 MB, CPU Usage: 222.00 %, Power Usage: 111.27254200000000000000 W
Memory Usage: 93.1758 MB, CPU Usage: 230.00 %, Power Usage: 114.35432200000000000000 W
Memory Usage: 117.113 MB, CPU Usage: 225.00 %, Power Usage: 117.03449000000000000000 W
Memory Usage: 117.301 MB, CPU Usage: 241.00 %, Power Usage: 117.42078100000000000000 W
Memory Usage: 117.176 MB, CPU Usage: 172.00 %, Power Usage: 101.90293700000000000000 W
