Memory Usage: 146.426 MB, CPU Usage: 133.00 %, Power Usage: 46.45080800000000000000 W
Memory Usage: 137.641 MB, CPU Usage: 138.00 %, Power Usage: 105.91403500000000000000 W
Memory Usage: 134.008 MB, CPU Usage: 135.00 %, Power Usage: 106.15451400000000000000 W
Memory Usage: 138.305 MB, CPU Usage: 135.00 %, Power Usage: 100.67112800000000000000 W
Memory Usage: 148.305 MB, CPU Usage: 141.00 %, Power Usage: 103.98972500000000000000 W
Memory Usage: 148.617 MB, CPU Usage: 153.00 %, Power Usage: 105.61764900000000000000 W
Memory Usage: 148.617 MB, CPU Usage: 148.00 %, Power Usage: 106.00809000000000000000 W
Memory Usage: 148.617 MB, CPU Usage: 151.00 %, Power Usage: 106.04257600000000000000 W
Memory Usage: 148.617 MB, CPU Usage: 155.00 %, Power Usage: 106.64865300000000000000 W
Memory Usage: 148.617 MB, CPU Usage: 155.00 %, Power Usage: 106.50754000000000000000 W
Memory Usage: 146.617 MB, CPU Usage: 158.00 %, Power Usage: 106.48282000000000000000 W
Memory Usage: 146.762 MB, CPU Usage: 162.00 %, Power Usage: 107.12033200000000000000 W
Memory Usage: 164.66 MB, CPU Usage: 155.00 %, Power Usage: 106.87973100000000000000 W
Memory Usage: 156.629 MB, CPU Usage: 156.00 %, Power Usage: 107.30929600000000000000 W
Memory Usage: 156.629 MB, CPU Usage: 154.00 %, Power Usage: 108.64644900000000000000 W
Memory Usage: 162.652 MB, CPU Usage: 154.00 %, Power Usage: 108.18685800000000000000 W
Memory Usage: 164.699 MB, CPU Usage: 154.00 %, Power Usage: 108.30447100000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 158.00 %, Power Usage: 108.49844000000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 161.00 %, Power Usage: 109.65090400000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 158.00 %, Power Usage: 109.05819200000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 167.00 %, Power Usage: 110.18019900000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 162.00 %, Power Usage: 109.60250300000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 165.00 %, Power Usage: 109.05440800000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 165.00 %, Power Usage: 110.18386200000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 168.00 %, Power Usage: 109.67910000000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 163.00 %, Power Usage: 109.11892300000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 167.00 %, Power Usage: 110.07454800000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 164.00 %, Power Usage: 109.25582300000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 168.00 %, Power Usage: 110.86751400000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 174.00 %, Power Usage: 108.81179400000000000000 W
Memory Usage: 146.957 MB, CPU Usage: 161.00 %, Power Usage: 107.47219800000000000000 W
Memory Usage: 146.957 MB, CPU Usage: 174.00 %, Power Usage: 111.02449600000000000000 W
Memory Usage: 146.941 MB, CPU Usage: 176.00 %, Power Usage: 110.40181700000000000000 W
Memory Usage: 162.805 MB, CPU Usage: 178.00 %, Power Usage: 111.28474900000000000000 W
Memory Usage: 162.734 MB, CPU Usage: 182.00 %, Power Usage: 110.37636600000000000000 W
Memory Usage: 162.609 MB, CPU Usage: 178.00 %, Power Usage: 110.38875600000000000000 W
Memory Usage: 162.484 MB, CPU Usage: 182.00 %, Power Usage: 110.97505700000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 189.00 %, Power Usage: 112.27284500000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 187.00 %, Power Usage: 113.56709200000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 186.00 %, Power Usage: 113.02131700000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 194.00 %, Power Usage: 113.50508100000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 196.00 %, Power Usage: 113.96320900000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 188.00 %, Power Usage: 113.53474400000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 186.00 %, Power Usage: 113.13282800000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 192.00 %, Power Usage: 114.02540400000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 194.00 %, Power Usage: 114.54774100000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 194.00 %, Power Usage: 114.31043700000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 195.00 %, Power Usage: 113.86012100000000000000 W
Memory Usage: 146.734 MB, CPU Usage: 197.00 %, Power Usage: 113.34944200000000000000 W
Memory Usage: 146.742 MB, CPU Usage: 196.00 %, Power Usage: 111.67464000000000000000 W
Memory Usage: 156.742 MB, CPU Usage: 199.01 %, Power Usage: 106.45315800000000000000 W
Memory Usage: 157.168 MB, CPU Usage: 205.00 %, Power Usage: 107.24582000000000000000 W
Memory Usage: 156.934 MB, CPU Usage: 208.00 %, Power Usage: 107.09213300000000000000 W
Memory Usage: 157.012 MB, CPU Usage: 203.00 %, Power Usage: 106.74289000000000000000 W
Memory Usage: 156.957 MB, CPU Usage: 203.00 %, Power Usage: 107.41122400000000000000 W
Memory Usage: 156.996 MB, CPU Usage: 211.00 %, Power Usage: 108.15090700000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 210.00 %, Power Usage: 108.33663700000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 214.00 %, Power Usage: 108.39437600000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 213.00 %, Power Usage: 108.45095500000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 216.00 %, Power Usage: 108.69857500000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 216.00 %, Power Usage: 108.46383300000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 215.00 %, Power Usage: 110.67098200000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 213.00 %, Power Usage: 115.36994300000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 214.00 %, Power Usage: 116.43738500000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 213.00 %, Power Usage: 115.54743400000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 217.00 %, Power Usage: 114.94270000000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 222.00 %, Power Usage: 114.39594700000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 224.00 %, Power Usage: 114.52161800000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 219.00 %, Power Usage: 114.38337400000000000000 W
Memory Usage: 147.035 MB, CPU Usage: 210.00 %, Power Usage: 113.68971200000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 209.00 %, Power Usage: 116.96588600000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 208.00 %, Power Usage: 116.54053500000000000000 W
Memory Usage: 157.035 MB, CPU Usage: 209.00 %, Power Usage: 116.96527700000000000000 W
