Memory Usage: 188.246 MB, CPU Usage: 132.00 %, Power Usage: 24.02337600000000000000 W
Memory Usage: 193.242 MB, CPU Usage: 140.00 %, Power Usage: 48.13946500000000000000 W
Memory Usage: 195.223 MB, CPU Usage: 133.00 %, Power Usage: 46.73425500000000000000 W
Memory Usage: 219.199 MB, CPU Usage: 149.00 %, Power Usage: 43.66633100000000000000 W
Memory Usage: 220.363 MB, CPU Usage: 139.00 %, Power Usage: 45.16138300000000000000 W
Memory Usage: 220.641 MB, CPU Usage: 141.00 %, Power Usage: 42.96906800000000000000 W
Memory Usage: 221.273 MB, CPU Usage: 140.00 %, Power Usage: 42.91309800000000000000 W
Memory Usage: 221.855 MB, CPU Usage: 142.00 %, Power Usage: 42.87824700000000000000 W
Memory Usage: 222.484 MB, CPU Usage: 139.00 %, Power Usage: 42.69672900000000000000 W
Memory Usage: 222.82 MB, CPU Usage: 147.00 %, Power Usage: 42.99232200000000000000 W
Memory Usage: 223.57 MB, CPU Usage: 144.00 %, Power Usage: 42.77619600000000000000 W
Memory Usage: 224.449 MB, CPU Usage: 143.00 %, Power Usage: 42.83387500000000000000 W
Memory Usage: 225.074 MB, CPU Usage: 152.00 %, Power Usage: 42.90162400000000000000 W
Memory Usage: 226.223 MB, CPU Usage: 151.00 %, Power Usage: 43.12617100000000000000 W
Memory Usage: 226.801 MB, CPU Usage: 170.00 %, Power Usage: 43.27845400000000000000 W
Memory Usage: 240.211 MB, CPU Usage: 145.00 %, Power Usage: 43.27759900000000000000 W
Memory Usage: 241.641 MB, CPU Usage: 146.00 %, Power Usage: 43.14442100000000000000 W
Memory Usage: 242.309 MB, CPU Usage: 173.00 %, Power Usage: 43.26618500000000000000 W
Memory Usage: 242.801 MB, CPU Usage: 138.00 %, Power Usage: 43.36079000000000000000 W
Memory Usage: 243.352 MB, CPU Usage: 151.00 %, Power Usage: 43.21247500000000000000 W
Memory Usage: 243.637 MB, CPU Usage: 162.00 %, Power Usage: 43.15974000000000000000 W
Memory Usage: 244.137 MB, CPU Usage: 142.00 %, Power Usage: 43.34528700000000000000 W
Memory Usage: 244.41 MB, CPU Usage: 158.00 %, Power Usage: 43.31593000000000000000 W
Memory Usage: 247.367 MB, CPU Usage: 164.00 %, Power Usage: 43.64435800000000000000 W
Memory Usage: 247.68 MB, CPU Usage: 157.00 %, Power Usage: 43.13380100000000000000 W
Memory Usage: 248.582 MB, CPU Usage: 154.00 %, Power Usage: 43.19752100000000000000 W
Memory Usage: 274.395 MB, CPU Usage: 161.00 %, Power Usage: 43.69129400000000000000 W
Memory Usage: 249.445 MB, CPU Usage: 161.00 %, Power Usage: 43.35761600000000000000 W
Memory Usage: 250.301 MB, CPU Usage: 172.00 %, Power Usage: 49.03252900000000000000 W
Memory Usage: 251.758 MB, CPU Usage: 148.00 %, Power Usage: 43.88880300000000000000 W
Memory Usage: 252.156 MB, CPU Usage: 162.00 %, Power Usage: 43.35102500000000000000 W
Memory Usage: 252.898 MB, CPU Usage: 158.00 %, Power Usage: 43.83338400000000000000 W
Memory Usage: 253.176 MB, CPU Usage: 178.00 %, Power Usage: 43.79255100000000000000 W
Memory Usage: 253.98 MB, CPU Usage: 140.59 %, Power Usage: 43.43696200000000000000 W
Memory Usage: 254.824 MB, CPU Usage: 157.00 %, Power Usage: 43.92054100000000000000 W
