2025/01/07 21:20:19.742, 27.52 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 21:20:20.772, 33.37 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:21.802, 33.86 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:22.833, 33.37 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:23.864, 33.37 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:24.893, 33.62 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:25.925, 33.37 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:26.957, 33.37 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:27.987, 33.62 W, 21 %, 481 MiB, 16384 MiB
2025/01/07 21:20:29.016, 33.62 W, 28 %, 481 MiB, 16384 MiB
2025/01/07 21:20:30.047, 35.08 W, 26 %, 481 MiB, 16384 MiB
2025/01/07 21:20:31.078, 33.62 W, 18 %, 481 MiB, 16384 MiB
2025/01/07 21:20:32.105, 33.86 W, 30 %, 481 MiB, 16384 MiB
2025/01/07 21:20:33.135, 33.86 W, 25 %, 481 MiB, 16384 MiB
2025/01/07 21:20:34.165, 40.94 W, 30 %, 519 MiB, 16384 MiB
2025/01/07 21:20:35.195, 34.11 W, 21 %, 481 MiB, 16384 MiB
2025/01/07 21:20:36.224, 33.62 W, 24 %, 603 MiB, 16384 MiB
2025/01/07 21:20:37.252, 33.62 W, 27 %, 481 MiB, 16384 MiB
2025/01/07 21:20:38.282, 53.39 W, 20 %, 551 MiB, 16384 MiB
2025/01/07 21:20:39.310, 34.84 W, 11 %, 509 MiB, 16384 MiB
2025/01/07 21:20:40.339, 41.44 W, 1 %, 651 MiB, 16384 MiB
2025/01/07 21:20:41.369, 46.83 W, 0 %, 635 MiB, 16384 MiB
2025/01/07 21:20:42.398, 37.03 W, 18 %, 505 MiB, 16384 MiB
2025/01/07 21:20:43.428, 33.86 W, 11 %, 537 MiB, 16384 MiB
2025/01/07 21:20:44.457, 51.46 W, 0 %, 567 MiB, 16384 MiB
2025/01/07 21:20:45.489, 33.86 W, 0 %, 505 MiB, 16384 MiB
2025/01/07 21:20:46.519, 33.61 W, 0 %, 481 MiB, 16384 MiB
2025/01/07 21:20:47.548, 33.61 W, 19 %, 581 MiB, 16384 MiB
