2025/01/07 16:08:07.047, 30.22 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:08.079, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:09.112, 30.21 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:10.141, 30.44 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:11.173, 30.44 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:12.207, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:13.239, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:14.269, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:15.298, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:16.327, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:17.356, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:18.385, 30.19 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 16:08:19.415, 37.05 W, 5 %, 803 MiB, 16384 MiB
2025/01/07 16:08:20.444, 48.30 W, 8 %, 875 MiB, 16384 MiB
2025/01/07 16:08:21.474, 38.99 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:22.504, 37.29 W, 28 %, 803 MiB, 16384 MiB
2025/01/07 16:08:23.534, 36.81 W, 14 %, 803 MiB, 16384 MiB
2025/01/07 16:08:24.563, 36.81 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:25.601, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:26.638, 42.91 W, 10 %, 815 MiB, 16384 MiB
2025/01/07 16:08:27.667, 37.30 W, 30 %, 803 MiB, 16384 MiB
2025/01/07 16:08:28.697, 37.06 W, 20 %, 803 MiB, 16384 MiB
2025/01/07 16:08:29.726, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:30.756, 36.81 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:31.785, 39.48 W, 13 %, 873 MiB, 16384 MiB
2025/01/07 16:08:32.814, 43.89 W, 23 %, 819 MiB, 16384 MiB
2025/01/07 16:08:33.843, 37.29 W, 26 %, 803 MiB, 16384 MiB
2025/01/07 16:08:34.873, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:35.901, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:36.933, 37.76 W, 11 %, 827 MiB, 16384 MiB
2025/01/07 16:08:37.963, 37.54 W, 33 %, 803 MiB, 16384 MiB
2025/01/07 16:08:38.995, 37.29 W, 27 %, 803 MiB, 16384 MiB
2025/01/07 16:08:40.025, 38.25 W, 27 %, 835 MiB, 16384 MiB
2025/01/07 16:08:41.056, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:42.086, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:43.114, 51.45 W, 15 %, 849 MiB, 16384 MiB
2025/01/07 16:08:44.143, 54.39 W, 30 %, 873 MiB, 16384 MiB
2025/01/07 16:08:45.173, 37.05 W, 20 %, 803 MiB, 16384 MiB
2025/01/07 16:08:46.203, 37.05 W, 4 %, 803 MiB, 16384 MiB
2025/01/07 16:08:47.233, 37.06 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:48.263, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:49.291, 75.66 W, 18 %, 967 MiB, 16384 MiB
2025/01/07 16:08:50.320, 37.30 W, 26 %, 803 MiB, 16384 MiB
2025/01/07 16:08:51.350, 46.34 W, 26 %, 851 MiB, 16384 MiB
2025/01/07 16:08:52.379, 37.29 W, 15 %, 803 MiB, 16384 MiB
2025/01/07 16:08:53.408, 37.29 W, 30 %, 803 MiB, 16384 MiB
2025/01/07 16:08:54.437, 37.05 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:55.467, 37.29 W, 0 %, 803 MiB, 16384 MiB
2025/01/07 16:08:56.497, 39.23 W, 9 %, 857 MiB, 16384 MiB
2025/01/07 16:08:57.527, 38.74 W, 20 %, 805 MiB, 16384 MiB
2025/01/07 16:08:58.556, 38.50 W, 30 %, 805 MiB, 16384 MiB
2025/01/07 16:08:59.586, 38.50 W, 25 %, 805 MiB, 16384 MiB
2025/01/07 16:09:00.616, 74.35 W, 6 %, 957 MiB, 16384 MiB
2025/01/07 16:09:01.646, 37.05 W, 8 %, 805 MiB, 16384 MiB
2025/01/07 16:09:02.674, 37.05 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:03.705, 37.05 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:04.734, 45.08 W, 10 %, 843 MiB, 16384 MiB
2025/01/07 16:09:05.765, 39.97 W, 28 %, 805 MiB, 16384 MiB
2025/01/07 16:09:06.795, 39.48 W, 28 %, 805 MiB, 16384 MiB
2025/01/07 16:09:07.824, 37.05 W, 30 %, 805 MiB, 16384 MiB
2025/01/07 16:09:08.852, 37.30 W, 8 %, 805 MiB, 16384 MiB
2025/01/07 16:09:09.882, 37.06 W, 0 %, 805 MiB, 16384 MiB
2025/01/07 16:09:10.911, 56.82 W, 0 %, 857 MiB, 16384 MiB
2025/01/07 16:09:11.941, 37.27 W, 1 %, 863 MiB, 16384 MiB
2025/01/07 16:09:12.970, 38.01 W, 22 %, 805 MiB, 16384 MiB
2025/01/07 16:09:14.000, 40.95 W, 26 %, 841 MiB, 16384 MiB
2025/01/07 16:09:15.030, 39.97 W, 33 %, 837 MiB, 16384 MiB
