2025/01/07 15:37:49.115, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:50.147, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:51.178, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:52.208, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:53.240, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:54.271, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:55.301, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:56.331, 28.00 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:57.362, 27.99 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:58.396, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:37:59.429, 27.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:38:00.458, 27.74 W, 0 %, 5 MiB, 16384 MiB
2025/01/07 15:38:01.490, 34.85 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:02.520, 33.86 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:03.551, 33.86 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:04.581, 46.10 W, 0 %, 933 MiB, 16384 MiB
2025/01/07 15:38:05.610, 38.03 W, 32 %, 847 MiB, 16384 MiB
2025/01/07 15:38:06.639, 34.11 W, 1 %, 847 MiB, 16384 MiB
2025/01/07 15:38:07.669, 33.87 W, 1 %, 847 MiB, 16384 MiB
2025/01/07 15:38:08.699, 34.11 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:09.727, 33.87 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:10.756, 52.47 W, 0 %, 917 MiB, 16384 MiB
2025/01/07 15:38:11.787, 35.09 W, 31 %, 847 MiB, 16384 MiB
2025/01/07 15:38:12.815, 34.11 W, 6 %, 847 MiB, 16384 MiB
2025/01/07 15:38:13.845, 34.11 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:14.874, 34.35 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:15.905, 34.11 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:16.934, 36.80 W, 0 %, 931 MiB, 16384 MiB
2025/01/07 15:38:17.963, 34.11 W, 28 %, 847 MiB, 16384 MiB
2025/01/07 15:38:18.993, 35.58 W, 29 %, 909 MiB, 16384 MiB
2025/01/07 15:38:20.023, 34.60 W, 27 %, 847 MiB, 16384 MiB
2025/01/07 15:38:21.051, 34.36 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:22.083, 39.72 W, 0 %, 901 MiB, 16384 MiB
2025/01/07 15:38:23.112, 52.68 W, 10 %, 911 MiB, 16384 MiB
2025/01/07 15:38:24.141, 34.11 W, 27 %, 847 MiB, 16384 MiB
2025/01/07 15:38:25.171, 34.11 W, 2 %, 847 MiB, 16384 MiB
2025/01/07 15:38:26.200, 34.11 W, 0 %, 847 MiB, 16384 MiB
2025/01/07 15:38:27.230, 53.91 W, 0 %, 893 MiB, 16384 MiB
2025/01/07 15:38:28.259, 34.60 W, 13 %, 947 MiB, 16384 MiB
2025/01/07 15:38:29.289, 39.97 W, 28 %, 863 MiB, 16384 MiB
2025/01/07 15:38:30.317, 34.36 W, 39 %, 847 MiB, 16384 MiB
