Memory Usage: 126.434 MB, CPU Usage: 99.00 %, Power Usage: 51.46324700000000000000 W
Memory Usage: 127.371 MB, CPU Usage: 99.00 %, Power Usage: 99.95518800000000000000 W
Memory Usage: 128.309 MB, CPU Usage: 100.00 %, Power Usage: 102.29282900000000000000 W
Memory Usage: 129.559 MB, CPU Usage: 100.00 %, Power Usage: 100.54332100000000000000 W
Memory Usage: 130.496 MB, CPU Usage: 101.00 %, Power Usage: 101.71427800000000000000 W
Memory Usage: 131.746 MB, CPU Usage: 99.01 %, Power Usage: 103.73014300000000000000 W
Memory Usage: 132.996 MB, CPU Usage: 101.00 %, Power Usage: 99.10545900000000000000 W
Memory Usage: 151.371 MB, CPU Usage: 100.00 %, Power Usage: 99.35729000000000000000 W
Memory Usage: 151.371 MB, CPU Usage: 98.00 %, Power Usage: 98.61425000000000000000 W
Memory Usage: 151.371 MB, CPU Usage: 100.00 %, Power Usage: 99.45634900000000000000 W
Memory Usage: 151.371 MB, CPU Usage: 100.00 %, Power Usage: 98.84252000000000000000 W
Memory Usage: 151.371 MB, CPU Usage: 99.00 %, Power Usage: 100.90336700000000000000 W
Memory Usage: 152.309 MB, CPU Usage: 100.00 %, Power Usage: 99.99071100000000000000 W
Memory Usage: 153.246 MB, CPU Usage: 101.00 %, Power Usage: 100.47270400000000000000 W
Memory Usage: 153.246 MB, CPU Usage: 100.00 %, Power Usage: 99.88219100000000000000 W
Memory Usage: 153.559 MB, CPU Usage: 99.00 %, Power Usage: 99.67876100000000000000 W
Memory Usage: 154.184 MB, CPU Usage: 100.00 %, Power Usage: 99.57182800000000000000 W
Memory Usage: 154.496 MB, CPU Usage: 100.00 %, Power Usage: 99.37529400000000000000 W
Memory Usage: 155.121 MB, CPU Usage: 101.00 %, Power Usage: 100.19755900000000000000 W
Memory Usage: 156.059 MB, CPU Usage: 100.00 %, Power Usage: 99.36870300000000000000 W
Memory Usage: 156.996 MB, CPU Usage: 100.00 %, Power Usage: 100.52696400000000000000 W
Memory Usage: 156.996 MB, CPU Usage: 100.00 %, Power Usage: 99.50816800000000000000 W
Memory Usage: 157.309 MB, CPU Usage: 101.00 %, Power Usage: 100.26646800000000000000 W
Memory Usage: 157.934 MB, CPU Usage: 100.00 %, Power Usage: 99.25121000000000000000 W
Memory Usage: 158.559 MB, CPU Usage: 100.00 %, Power Usage: 100.17625700000000000000 W
Memory Usage: 159.184 MB, CPU Usage: 100.00 %, Power Usage: 99.44218900000000000000 W
Memory Usage: 159.809 MB, CPU Usage: 99.00 %, Power Usage: 99.91350200000000000000 W
Memory Usage: 160.746 MB, CPU Usage: 100.00 %, Power Usage: 99.34276400000000000000 W
Memory Usage: 160.746 MB, CPU Usage: 100.00 %, Power Usage: 99.06981400000000000000 W
Memory Usage: 161.371 MB, CPU Usage: 101.00 %, Power Usage: 99.80644700000000000000 W
Memory Usage: 161.996 MB, CPU Usage: 100.00 %, Power Usage: 98.90556900000000000000 W
Memory Usage: 162.309 MB, CPU Usage: 100.00 %, Power Usage: 100.28703600000000000000 W
Memory Usage: 162.934 MB, CPU Usage: 101.00 %, Power Usage: 99.40428600000000000000 W
Memory Usage: 163.559 MB, CPU Usage: 99.00 %, Power Usage: 100.47862500000000000000 W
Memory Usage: 164.496 MB, CPU Usage: 99.00 %, Power Usage: 99.50206400000000000000 W
Memory Usage: 164.809 MB, CPU Usage: 99.00 %, Power Usage: 100.60130600000000000000 W
Memory Usage: 165.121 MB, CPU Usage: 99.00 %, Power Usage: 99.64708300000000000000 W
Memory Usage: 165.746 MB, CPU Usage: %wait %, Power Usage: 87.67018500000000000000 W
