2025/01/11 10:33:35.199, 35.83 W, 7 %, 5 MiB, 16384 MiB
2025/01/11 10:33:36.231, 35.58 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:37.261, 30.68 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:38.293, 30.68 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:39.325, 30.70 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:40.355, 29.21 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:41.386, 29.21 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:42.418, 29.21 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:43.448, 29.21 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:44.481, 29.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:45.514, 29.23 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 10:33:46.632, 29.23 W, 0 %, 15 MiB, 16384 MiB
2025/01/11 10:33:47.662, 35.58 W, 8 %, 285 MiB, 16384 MiB
2025/01/11 10:33:48.692, 37.05 W, 10 %, 295 MiB, 16384 MiB
2025/01/11 10:33:49.722, 35.82 W, 18 %, 285 MiB, 16384 MiB
2025/01/11 10:33:50.751, 35.58 W, 14 %, 285 MiB, 16384 MiB
2025/01/11 10:33:51.780, 35.58 W, 9 %, 285 MiB, 16384 MiB
2025/01/11 10:33:52.810, 35.82 W, 22 %, 285 MiB, 16384 MiB
2025/01/11 10:33:53.839, 35.58 W, 18 %, 285 MiB, 16384 MiB
2025/01/11 10:33:54.869, 35.58 W, 26 %, 285 MiB, 16384 MiB
2025/01/11 10:33:55.898, 35.58 W, 17 %, 285 MiB, 16384 MiB
2025/01/11 10:33:56.928, 35.58 W, 0 %, 285 MiB, 16384 MiB
2025/01/11 10:33:57.958, 35.58 W, 0 %, 285 MiB, 16384 MiB
2025/01/11 10:33:58.988, 35.82 W, 1 %, 285 MiB, 16384 MiB
2025/01/11 10:34:00.018, 35.58 W, 1 %, 285 MiB, 16384 MiB
2025/01/11 10:34:01.047, 35.58 W, 15 %, 285 MiB, 16384 MiB
2025/01/11 10:34:02.076, 35.82 W, 0 %, 285 MiB, 16384 MiB
2025/01/11 10:34:03.106, 47.56 W, 4 %, 343 MiB, 16384 MiB
2025/01/11 10:34:04.135, 37.78 W, 28 %, 395 MiB, 16384 MiB
2025/01/11 10:34:05.164, 35.82 W, 27 %, 285 MiB, 16384 MiB
2025/01/11 10:34:06.192, 35.58 W, 13 %, 285 MiB, 16384 MiB
2025/01/11 10:34:07.222, 36.07 W, 26 %, 285 MiB, 16384 MiB
2025/01/11 10:34:08.252, 35.58 W, 17 %, 285 MiB, 16384 MiB
2025/01/11 10:34:09.282, 35.82 W, 0 %, 285 MiB, 16384 MiB
2025/01/11 10:34:10.311, 35.82 W, 0 %, 285 MiB, 16384 MiB
2025/01/11 10:34:11.342, 39.72 W, 10 %, 371 MiB, 16384 MiB
2025/01/11 10:34:12.371, 47.08 W, 26 %, 323 MiB, 16384 MiB
2025/01/11 10:34:13.400, 36.56 W, 33 %, 285 MiB, 16384 MiB
2025/01/11 10:34:14.429, 35.82 W, 26 %, 285 MiB, 16384 MiB
2025/01/11 10:34:15.458, 35.82 W, 24 %, 285 MiB, 16384 MiB
2025/01/11 10:34:16.487, 35.82 W, 0 %, 285 MiB, 16384 MiB
