2025/01/11 11:39:05.747, 49.04 W, 2 %, 5 MiB, 16384 MiB
2025/01/11 11:39:06.776, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:07.808, 48.74 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:08.836, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:09.863, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:10.891, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:11.919, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:12.948, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:13.977, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:15.005, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:16.034, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:17.063, 48.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:18.091, 34.85 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:19.120, 34.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:20.150, 34.61 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:21.181, 34.60 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:22.210, 34.60 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:23.239, 34.60 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:24.269, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:25.299, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:26.330, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:27.360, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:28.389, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:29.419, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:30.448, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:31.477, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:32.506, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:33.536, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:34.566, 34.36 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:35.599, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:36.628, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:37.658, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:38.687, 34.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:39.719, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:40.752, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:41.781, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:42.812, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:43.844, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:44.874, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:45.905, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:46.939, 34.11 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:47.968, 33.87 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:48.998, 33.87 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:50.028, 33.87 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:51.056, 33.87 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 11:39:52.085, 33.87 W, 0 %, 5 MiB, 16384 MiB
