Memory Usage: 186.832 MB, CPU Usage: 125.00 %, Power Usage: 23.17077800000000000000 W
Memory Usage: 193.754 MB, CPU Usage: 146.00 %, Power Usage: 49.08349200000000000000 W
Memory Usage: 194.969 MB, CPU Usage: 129.00 %, Power Usage: 48.92565600000000000000 W
Memory Usage: 213.363 MB, CPU Usage: 146.00 %, Power Usage: 45.79535400000000000000 W
Memory Usage: 218.332 MB, CPU Usage: 143.00 %, Power Usage: 48.23229900000000000000 W
Memory Usage: 219.488 MB, CPU Usage: 132.00 %, Power Usage: 45.73621100000000000000 W
Memory Usage: 222.676 MB, CPU Usage: 124.00 %, Power Usage: 45.40613300000000000000 W
Memory Usage: 223.297 MB, CPU Usage: 160.00 %, Power Usage: 46.75079600000000000000 W
Memory Usage: 223.828 MB, CPU Usage: 149.00 %, Power Usage: 49.81450900000000000000 W
Memory Usage: 224.117 MB, CPU Usage: 147.00 %, Power Usage: 44.16541400000000000000 W
Memory Usage: 224.68 MB, CPU Usage: 134.00 %, Power Usage: 44.27344600000000000000 W
Memory Usage: 225.305 MB, CPU Usage: 160.00 %, Power Usage: 46.48199800000000000000 W
Memory Usage: 228.762 MB, CPU Usage: 144.00 %, Power Usage: 44.82160200000000000000 W
Memory Usage: 229.387 MB, CPU Usage: 162.00 %, Power Usage: 43.89112300000000000000 W
Memory Usage: 230.219 MB, CPU Usage: 145.00 %, Power Usage: 43.42261800000000000000 W
Memory Usage: 231.105 MB, CPU Usage: 160.00 %, Power Usage: 49.59655300000000000000 W
Memory Usage: 232.645 MB, CPU Usage: 152.00 %, Power Usage: 51.37779800000000000000 W
Memory Usage: 233.25 MB, CPU Usage: 168.00 %, Power Usage: 49.48058600000000000000 W
Memory Usage: 234.223 MB, CPU Usage: 147.00 %, Power Usage: 49.74261000000000000000 W
Memory Usage: 234.797 MB, CPU Usage: 156.00 %, Power Usage: 51.98729300000000000000 W
Memory Usage: 235.023 MB, CPU Usage: 159.00 %, Power Usage: 51.58299800000000000000 W
Memory Usage: 276.746 MB, CPU Usage: 170.00 %, Power Usage: 54.61552200000000000000 W
Memory Usage: 236.762 MB, CPU Usage: 165.00 %, Power Usage: 49.84752900000000000000 W
Memory Usage: 237.266 MB, CPU Usage: 153.00 %, Power Usage: 49.89940800000000000000 W
Memory Usage: 237.805 MB, CPU Usage: 160.00 %, Power Usage: 52.19310400000000000000 W
Memory Usage: 238.273 MB, CPU Usage: 165.00 %, Power Usage: 45.28290400000000000000 W
Memory Usage: 238.754 MB, CPU Usage: 153.00 %, Power Usage: 43.32813600000000000000 W
Memory Usage: 239.254 MB, CPU Usage: 147.00 %, Power Usage: 43.91962600000000000000 W
Memory Usage: 239.848 MB, CPU Usage: 158.00 %, Power Usage: 43.41364600000000000000 W
Memory Usage: 240.109 MB, CPU Usage: 152.00 %, Power Usage: 44.00721200000000000000 W
Memory Usage: 240.309 MB, CPU Usage: 164.00 %, Power Usage: 43.15321000000000000000 W
Memory Usage: 306.516 MB, CPU Usage: 155.00 %, Power Usage: 43.47449800000000000000 W
Memory Usage: 240.848 MB, CPU Usage: 151.00 %, Power Usage: 43.05128100000000000000 W
Memory Usage: 242.312 MB, CPU Usage: 159.00 %, Power Usage: 43.23505800000000000000 W
Memory Usage: 242.438 MB, CPU Usage: 149.00 %, Power Usage: 43.26917600000000000000 W
Memory Usage: 242.914 MB, CPU Usage: 151.00 %, Power Usage: 43.27589100000000000000 W
Memory Usage: 244.27 MB, CPU Usage: 149.00 %, Power Usage: 43.37421700000000000000 W
Memory Usage: 244.875 MB, CPU Usage: 168.00 %, Power Usage: 42.95661600000000000000 W
Memory Usage: 245.332 MB, CPU Usage: 159.00 %, Power Usage: 43.47144700000000000000 W
Memory Usage: 245.598 MB, CPU Usage: 161.00 %, Power Usage: 43.45392900000000000000 W
Memory Usage: 246.652 MB, CPU Usage: 158.00 %, Power Usage: 43.74201400000000000000 W
Memory Usage: 247.078 MB, CPU Usage: 157.00 %, Power Usage: 43.10645700000000000000 W
Memory Usage: 247.391 MB, CPU Usage: 167.00 %, Power Usage: 43.76673400000000000000 W
Memory Usage: 301.684 MB, CPU Usage: 163.00 %, Power Usage: 43.29725200000000000000 W
Memory Usage: 248.469 MB, CPU Usage: 162.00 %, Power Usage: 43.46351200000000000000 W
Memory Usage: 249.117 MB, CPU Usage: 158.00 %, Power Usage: 43.33314100000000000000 W
Memory Usage: 250.512 MB, CPU Usage: 150.00 %, Power Usage: 43.71290100000000000000 W
Memory Usage: 251.191 MB, CPU Usage: 154.00 %, Power Usage: 43.80561300000000000000 W
Memory Usage: 251.695 MB, CPU Usage: 138.00 %, Power Usage: 43.52296000000000000000 W
Memory Usage: 252.227 MB, CPU Usage: 156.00 %, Power Usage: 43.64704400000000000000 W
Memory Usage: 252.203 MB, CPU Usage: 181.00 %, Power Usage: 43.35529700000000000000 W
Memory Usage: 253.012 MB, CPU Usage: 146.00 %, Power Usage: 43.77949000000000000000 W
Memory Usage: 253.523 MB, CPU Usage: 157.43 %, Power Usage: 48.17999100000000000000 W
Memory Usage: 253.676 MB, CPU Usage: 171.00 %, Power Usage: 52.47398700000000000000 W
Memory Usage: 254.516 MB, CPU Usage: 145.00 %, Power Usage: 46.09473000000000000000 W
Memory Usage: 255.074 MB, CPU Usage: 150.00 %, Power Usage: 44.05054700000000000000 W
Memory Usage: 255.684 MB, CPU Usage: 120.79 %, Power Usage: 43.73292000000000000000 W
Memory Usage: 256.492 MB, CPU Usage: 182.00 %, Power Usage: 50.36882900000000000000 W
Memory Usage: 256.77 MB, CPU Usage: 158.00 %, Power Usage: 43.47571800000000000000 W
Memory Usage: 257.402 MB, CPU Usage: 130.00 %, Power Usage: 42.95704400000000000000 W
Memory Usage: 257.695 MB, CPU Usage: 157.00 %, Power Usage: 47.41644300000000000000 W
Memory Usage: 266.086 MB, CPU Usage: 179.00 %, Power Usage: 54.22148000000000000000 W
Memory Usage: 258.414 MB, CPU Usage: 163.00 %, Power Usage: 52.77208200000000000000 W
Memory Usage: 258.398 MB, CPU Usage: 157.00 %, Power Usage: 43.58863300000000000000 W
Memory Usage: 258.395 MB, CPU Usage: 138.00 %, Power Usage: 52.15837500000000000000 W
Memory Usage: 259.098 MB, CPU Usage: 169.00 %, Power Usage: 49.08392000000000000000 W
