2025/01/09 17:13:36.364, 28.00 W, 0 %, 15 MiB, 16384 MiB
2025/01/09 17:13:37.399, 38.03 W, 0 %, 2533 MiB, 16384 MiB
2025/01/09 17:13:38.428, 38.03 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:39.460, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:40.492, 35.33 W, 10 %, 2613 MiB, 16384 MiB
2025/01/09 17:13:41.521, 33.86 W, 26 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:42.551, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:43.581, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:44.618, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:45.651, 34.84 W, 29 %, 2565 MiB, 16384 MiB
2025/01/09 17:13:46.683, 34.36 W, 30 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:47.714, 33.87 W, 8 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:48.744, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:49.774, 35.58 W, 0 %, 2613 MiB, 16384 MiB
2025/01/09 17:13:50.806, 34.60 W, 11 %, 2665 MiB, 16384 MiB
2025/01/09 17:13:51.838, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:52.871, 33.86 W, 1 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:53.900, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:54.927, 35.33 W, 13 %, 2619 MiB, 16384 MiB
2025/01/09 17:13:55.959, 34.35 W, 26 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:56.989, 33.86 W, 1 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:58.019, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:13:59.060, 36.81 W, 1 %, 2609 MiB, 16384 MiB
2025/01/09 17:14:00.092, 34.11 W, 26 %, 2565 MiB, 16384 MiB
2025/01/09 17:14:01.124, 33.87 W, 26 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:02.158, 33.87 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:03.187, 52.19 W, 0 %, 2643 MiB, 16384 MiB
2025/01/09 17:14:04.216, 35.09 W, 30 %, 2611 MiB, 16384 MiB
2025/01/09 17:14:05.247, 36.31 W, 16 %, 2603 MiB, 16384 MiB
2025/01/09 17:14:06.277, 34.11 W, 33 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:07.306, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:08.337, 34.35 W, 0 %, 2565 MiB, 16384 MiB
2025/01/09 17:14:09.365, 37.05 W, 28 %, 2595 MiB, 16384 MiB
2025/01/09 17:14:10.395, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:11.442, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:12.481, 34.35 W, 0 %, 2577 MiB, 16384 MiB
2025/01/09 17:14:13.512, 34.10 W, 33 %, 2663 MiB, 16384 MiB
2025/01/09 17:14:14.543, 37.76 W, 28 %, 2579 MiB, 16384 MiB
2025/01/09 17:14:15.574, 33.86 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:16.603, 38.03 W, 24 %, 2565 MiB, 16384 MiB
2025/01/09 17:14:17.631, 35.58 W, 29 %, 2565 MiB, 16384 MiB
2025/01/09 17:14:18.660, 34.11 W, 27 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:19.690, 34.10 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:20.718, 35.09 W, 13 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:21.749, 34.11 W, 29 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:22.782, 34.11 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:23.813, 33.87 W, 17 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:24.844, 34.60 W, 6 %, 2589 MiB, 16384 MiB
2025/01/09 17:14:25.875, 47.78 W, 27 %, 2619 MiB, 16384 MiB
2025/01/09 17:14:26.906, 34.36 W, 18 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:27.938, 34.11 W, 29 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:28.974, 38.01 W, 22 %, 2583 MiB, 16384 MiB
2025/01/09 17:14:30.006, 34.35 W, 30 %, 2577 MiB, 16384 MiB
2025/01/09 17:14:31.037, 42.91 W, 31 %, 2587 MiB, 16384 MiB
2025/01/09 17:14:32.067, 34.11 W, 10 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:33.096, 41.20 W, 1 %, 2625 MiB, 16384 MiB
2025/01/09 17:14:34.125, 34.84 W, 26 %, 2573 MiB, 16384 MiB
2025/01/09 17:14:35.155, 34.11 W, 27 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:36.184, 34.11 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:37.213, 68.97 W, 5 %, 2711 MiB, 16384 MiB
2025/01/09 17:14:38.243, 42.42 W, 33 %, 2589 MiB, 16384 MiB
2025/01/09 17:14:39.272, 35.58 W, 33 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:40.302, 34.10 W, 28 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:41.332, 42.17 W, 2 %, 2613 MiB, 16384 MiB
2025/01/09 17:14:42.362, 34.84 W, 29 %, 2565 MiB, 16384 MiB
2025/01/09 17:14:43.392, 34.84 W, 19 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:44.421, 34.11 W, 32 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:45.450, 34.11 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:46.482, 41.93 W, 23 %, 2609 MiB, 16384 MiB
2025/01/09 17:14:47.512, 36.56 W, 25 %, 2595 MiB, 16384 MiB
2025/01/09 17:14:48.541, 40.21 W, 29 %, 2597 MiB, 16384 MiB
2025/01/09 17:14:49.571, 34.11 W, 21 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:50.601, 59.50 W, 4 %, 2629 MiB, 16384 MiB
2025/01/09 17:14:51.631, 38.51 W, 17 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:52.661, 42.65 W, 9 %, 2619 MiB, 16384 MiB
2025/01/09 17:14:53.691, 34.35 W, 29 %, 2645 MiB, 16384 MiB
2025/01/09 17:14:54.720, 39.01 W, 19 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:55.748, 39.01 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:56.777, 40.45 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:14:57.807, 43.88 W, 18 %, 2589 MiB, 16384 MiB
2025/01/09 17:14:58.836, 39.98 W, 22 %, 2869 MiB, 16384 MiB
2025/01/09 17:14:59.865, 39.01 W, 29 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:00.895, 39.25 W, 18 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:01.924, 47.56 W, 19 %, 2619 MiB, 16384 MiB
2025/01/09 17:15:02.954, 39.24 W, 19 %, 2665 MiB, 16384 MiB
2025/01/09 17:15:03.983, 39.47 W, 36 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:05.013, 39.49 W, 27 %, 2569 MiB, 16384 MiB
2025/01/09 17:15:06.045, 39.25 W, 19 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:07.074, 39.25 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:08.103, 45.84 W, 24 %, 2605 MiB, 16384 MiB
2025/01/09 17:15:09.133, 39.72 W, 31 %, 2573 MiB, 16384 MiB
2025/01/09 17:15:10.162, 75.86 W, 22 %, 2991 MiB, 16384 MiB
2025/01/09 17:15:11.191, 46.09 W, 11 %, 2603 MiB, 16384 MiB
2025/01/09 17:15:12.221, 45.11 W, 29 %, 2611 MiB, 16384 MiB
2025/01/09 17:15:13.252, 39.25 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:14.280, 43.64 W, 15 %, 2611 MiB, 16384 MiB
2025/01/09 17:15:15.310, 65.40 W, 27 %, 2631 MiB, 16384 MiB
2025/01/09 17:15:16.339, 39.47 W, 65 %, 2847 MiB, 16384 MiB
2025/01/09 17:15:17.369, 42.41 W, 24 %, 2605 MiB, 16384 MiB
2025/01/09 17:15:18.398, 39.25 W, 0 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:19.428, 40.70 W, 6 %, 2657 MiB, 16384 MiB
2025/01/09 17:15:20.458, 67.33 W, 43 %, 2881 MiB, 16384 MiB
2025/01/09 17:15:21.487, 39.72 W, 24 %, 2593 MiB, 16384 MiB
2025/01/09 17:15:22.517, 50.00 W, 23 %, 2595 MiB, 16384 MiB
2025/01/09 17:15:23.546, 51.94 W, 31 %, 2613 MiB, 16384 MiB
2025/01/09 17:15:24.576, 52.67 W, 13 %, 2613 MiB, 16384 MiB
2025/01/09 17:15:25.607, 39.50 W, 3 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:26.637, 39.72 W, 22 %, 2557 MiB, 16384 MiB
2025/01/09 17:15:27.667, 46.08 W, 10 %, 2565 MiB, 16384 MiB
2025/01/09 17:15:28.698, 39.96 W, 25 %, 2577 MiB, 16384 MiB
