Memory Usage: 128.973 MB, CPU Usage: 107.00 %, Power Usage: 55.60288500000000000000 W
Memory Usage: 177.328 MB, CPU Usage: 108.00 %, Power Usage: 109.07058300000000000000 W
Memory Usage: 180.09 MB, CPU Usage: 113.00 %, Power Usage: 107.82455200000000000000 W
Memory Usage: 186.027 MB, CPU Usage: 126.00 %, Power Usage: 106.22348300000000000000 W
Memory Usage: 186.652 MB, CPU Usage: 120.00 %, Power Usage: 106.57022400000000000000 W
Memory Usage: 192.902 MB, CPU Usage: 124.00 %, Power Usage: 101.26432800000000000000 W
Memory Usage: 193.531 MB, CPU Usage: 122.00 %, Power Usage: 100.31499000000000000000 W
Memory Usage: 193.844 MB, CPU Usage: 119.00 %, Power Usage: 99.51677300000000000000 W
Memory Usage: 196.277 MB, CPU Usage: 123.00 %, Power Usage: 99.86876300000000000000 W
Memory Usage: 196.59 MB, CPU Usage: 130.00 %, Power Usage: 100.97026200000000000000 W
Memory Usage: 196.902 MB, CPU Usage: 129.00 %, Power Usage: 103.28470900000000000000 W
Memory Usage: 196.977 MB, CPU Usage: 126.00 %, Power Usage: 101.55491500000000000000 W
Memory Usage: 197.578 MB, CPU Usage: 119.00 %, Power Usage: 100.21599100000000000000 W
Memory Usage: 198.203 MB, CPU Usage: 122.00 %, Power Usage: 101.03410500000000000000 W
Memory Usage: 211.297 MB, CPU Usage: 126.00 %, Power Usage: 99.97453600000000000000 W
Memory Usage: 215.672 MB, CPU Usage: 123.00 %, Power Usage: 100.90879900000000000000 W
Memory Usage: 215.574 MB, CPU Usage: 116.00 %, Power Usage: 101.70524600000000000000 W
Memory Usage: 216.055 MB, CPU Usage: 105.00 %, Power Usage: 100.51506200000000000000 W
Memory Usage: 216.355 MB, CPU Usage: 115.00 %, Power Usage: 101.23851000000000000000 W
Memory Usage: 252.266 MB, CPU Usage: 120.00 %, Power Usage: 101.40977500000000000000 W
Memory Usage: 217.75 MB, CPU Usage: 104.00 %, Power Usage: 101.20878600000000000000 W
Memory Usage: 218.062 MB, CPU Usage: 103.00 %, Power Usage: 100.14818200000000000000 W
Memory Usage: 218.375 MB, CPU Usage: 120.00 %, Power Usage: 103.10190800000000000000 W
Memory Usage: 252.578 MB, CPU Usage: 120.00 %, Power Usage: 102.12077100000000000000 W
Memory Usage: 219.477 MB, CPU Usage: 111.00 %, Power Usage: 100.63444700000000000000 W
Memory Usage: 219.77 MB, CPU Usage: 146.00 %, Power Usage: 102.19199900000000000000 W
Memory Usage: 220.145 MB, CPU Usage: 142.00 %, Power Usage: 102.53861800000000000000 W
Memory Usage: 220.754 MB, CPU Usage: 125.00 %, Power Usage: 101.05839500000000000000 W
Memory Usage: 221.066 MB, CPU Usage: 142.00 %, Power Usage: 101.56120300000000000000 W
Memory Usage: 222.426 MB, CPU Usage: 124.00 %, Power Usage: 100.83201700000000000000 W
Memory Usage: 223.316 MB, CPU Usage: 126.00 %, Power Usage: 100.49180800000000000000 W
