2025/01/09 19:51:27.623, 27.76 W, 0 %, 15 MiB, 16384 MiB
2025/01/09 19:51:28.743, 33.62 W, 0 %, 351 MiB, 16384 MiB
2025/01/09 19:51:29.776, 33.61 W, 0 %, 351 MiB, 16384 MiB
2025/01/09 19:51:30.806, 33.62 W, 0 %, 351 MiB, 16384 MiB
2025/01/09 19:51:31.840, 33.61 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:32.871, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:33.903, 33.61 W, 8 %, 375 MiB, 16384 MiB
2025/01/09 19:51:34.938, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:35.969, 33.62 W, 21 %, 375 MiB, 16384 MiB
2025/01/09 19:51:37.001, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:38.035, 33.62 W, 23 %, 375 MiB, 16384 MiB
2025/01/09 19:51:39.065, 33.61 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:40.096, 33.62 W, 25 %, 375 MiB, 16384 MiB
2025/01/09 19:51:41.125, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:42.155, 33.62 W, 25 %, 375 MiB, 16384 MiB
2025/01/09 19:51:43.184, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:44.215, 36.80 W, 9 %, 401 MiB, 16384 MiB
2025/01/09 19:51:45.244, 33.61 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:46.274, 33.62 W, 0 %, 427 MiB, 16384 MiB
2025/01/09 19:51:47.304, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:48.333, 37.05 W, 27 %, 409 MiB, 16384 MiB
2025/01/09 19:51:49.363, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:50.394, 45.85 W, 25 %, 423 MiB, 16384 MiB
2025/01/09 19:51:51.423, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:52.454, 34.10 W, 26 %, 413 MiB, 16384 MiB
2025/01/09 19:51:53.484, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:54.513, 33.86 W, 29 %, 375 MiB, 16384 MiB
2025/01/09 19:51:55.544, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:56.578, 33.86 W, 34 %, 429 MiB, 16384 MiB
2025/01/09 19:51:57.608, 33.61 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:51:58.636, 33.86 W, 12 %, 435 MiB, 16384 MiB
2025/01/09 19:51:59.667, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:00.696, 46.80 W, 27 %, 455 MiB, 16384 MiB
2025/01/09 19:52:01.726, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:02.756, 34.10 W, 24 %, 445 MiB, 16384 MiB
2025/01/09 19:52:03.787, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:04.817, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:05.847, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:06.878, 33.86 W, 27 %, 447 MiB, 16384 MiB
2025/01/09 19:52:07.907, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:08.936, 33.86 W, 20 %, 477 MiB, 16384 MiB
2025/01/09 19:52:09.967, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:10.997, 39.96 W, 21 %, 413 MiB, 16384 MiB
2025/01/09 19:52:12.028, 33.62 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:13.060, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:14.094, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:15.129, 34.35 W, 24 %, 375 MiB, 16384 MiB
2025/01/09 19:52:16.163, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:17.195, 41.44 W, 0 %, 537 MiB, 16384 MiB
2025/01/09 19:52:18.229, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:19.258, 56.11 W, 0 %, 459 MiB, 16384 MiB
2025/01/09 19:52:20.288, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:21.325, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:22.356, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:23.385, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:24.415, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:25.446, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:26.478, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:27.508, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:28.538, 33.86 W, 20 %, 437 MiB, 16384 MiB
2025/01/09 19:52:29.568, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:30.599, 33.86 W, 17 %, 465 MiB, 16384 MiB
2025/01/09 19:52:31.629, 33.86 W, 1 %, 375 MiB, 16384 MiB
2025/01/09 19:52:32.660, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:33.692, 33.87 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:34.725, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:35.757, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:36.786, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:37.818, 33.86 W, 2 %, 375 MiB, 16384 MiB
2025/01/09 19:52:38.851, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:39.883, 33.86 W, 1 %, 375 MiB, 16384 MiB
2025/01/09 19:52:40.913, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:41.942, 33.86 W, 14 %, 375 MiB, 16384 MiB
2025/01/09 19:52:42.972, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:44.002, 35.33 W, 24 %, 375 MiB, 16384 MiB
2025/01/09 19:52:45.033, 33.87 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:46.062, 33.86 W, 35 %, 375 MiB, 16384 MiB
2025/01/09 19:52:47.095, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:48.124, 35.33 W, 20 %, 383 MiB, 16384 MiB
2025/01/09 19:52:49.154, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:50.183, 35.33 W, 22 %, 375 MiB, 16384 MiB
2025/01/09 19:52:51.214, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:52.246, 34.10 W, 16 %, 387 MiB, 16384 MiB
2025/01/09 19:52:53.277, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:54.307, 33.86 W, 0 %, 429 MiB, 16384 MiB
2025/01/09 19:52:55.338, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:56.367, 39.25 W, 13 %, 415 MiB, 16384 MiB
2025/01/09 19:52:57.396, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:58.425, 34.84 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:52:59.455, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:00.484, 35.09 W, 0 %, 429 MiB, 16384 MiB
2025/01/09 19:53:01.514, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:02.545, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:03.575, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:04.606, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:05.638, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:06.668, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:07.700, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:08.730, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:09.762, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:10.797, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:11.828, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:12.858, 33.86 W, 0 %, 375 MiB, 16384 MiB
2025/01/09 19:53:13.887, 34.10 W, 2 %, 375 MiB, 16384 MiB
