Memory Usage: 78.7617 MB, CPU Usage: 158.00 %, Power Usage: 53.72972000000000000000 W
Memory Usage: 122.551 MB, CPU Usage: 228.00 %, Power Usage: 111.35524500000000000000 W
Memory Usage: 123.453 MB, CPU Usage: 207.00 %, Power Usage: 113.33082600000000000000 W
Memory Usage: 91.8477 MB, CPU Usage: 239.00 %, Power Usage: 120.85839400000000000000 W
Memory Usage: 123.438 MB, CPU Usage: 235.00 %, Power Usage: 116.99152200000000000000 W
Memory Usage: 88.7266 MB, CPU Usage: 250.00 %, Power Usage: 120.72027200000000000000 W
Memory Usage: 115.566 MB, CPU Usage: 237.00 %, Power Usage: 121.67266200000000000000 W
Memory Usage: 129.004 MB, CPU Usage: 235.00 %, Power Usage: 120.17681600000000000000 W
Memory Usage: 131.207 MB, CPU Usage: 255.00 %, Power Usage: 119.82690300000000000000 W
Memory Usage: 124.52 MB, CPU Usage: 228.00 %, Power Usage: 117.95709500000000000000 W
Memory Usage: 127.449 MB, CPU Usage: 238.00 %, Power Usage: 113.77247500000000000000 W
Memory Usage: 96.1484 MB, CPU Usage: 238.00 %, Power Usage: 119.74847300000000000000 W
Memory Usage: 128.965 MB, CPU Usage: 246.00 %, Power Usage: 119.23663300000000000000 W
Memory Usage: 135.84 MB, CPU Usage: 196.00 %, Power Usage: 117.17249100000000000000 W
Memory Usage: 133.797 MB, CPU Usage: 111.00 %, Power Usage: 96.29284500000000000000 W
Memory Usage: 131.047 MB, CPU Usage: 225.00 %, Power Usage: 113.52149800000000000000 W
Memory Usage: 134.25 MB, CPU Usage: 243.56 %, Power Usage: 118.69006500000000000000 W
Memory Usage: 134.672 MB, CPU Usage: 201.00 %, Power Usage: 115.36664800000000000000 W
Memory Usage: 134.125 MB, CPU Usage: 113.00 %, Power Usage: 95.72778300000000000000 W
Memory Usage: 136 MB, CPU Usage: 105.00 %, Power Usage: 97.69506200000000000000 W
Memory Usage: 100.629 MB, CPU Usage: 107.00 %, Power Usage: 95.85131700000000000000 W
Memory Usage: 101.254 MB, CPU Usage: 225.00 %, Power Usage: 100.92234900000000000000 W
Memory Usage: 140.508 MB, CPU Usage: 238.61 %, Power Usage: 118.65606800000000000000 W
Memory Usage: 117.195 MB, CPU Usage: 237.00 %, Power Usage: 117.94519400000000000000 W
Memory Usage: 105.508 MB, CPU Usage: 242.00 %, Power Usage: 118.92389000000000000000 W
Memory Usage: 140.32 MB, CPU Usage: 112.87 %, Power Usage: 103.42569900000000000000 W
Memory Usage: 140.32 MB, CPU Usage: 114.00 %, Power Usage: 95.97106800000000000000 W
Memory Usage: 106.754 MB, CPU Usage: 101.00 %, Power Usage: 97.44689400000000000000 W
Memory Usage: 106.754 MB, CPU Usage: 105.00 %, Power Usage: 94.80377400000000000000 W
Memory Usage: 106.754 MB, CPU Usage: 100.00 %, Power Usage: 95.55895900000000000000 W
Memory Usage: 106.754 MB, CPU Usage: 187.00 %, Power Usage: 99.03026400000000000000 W
Memory Usage: 143.551 MB, CPU Usage: 245.00 %, Power Usage: 116.99799200000000000000 W
Memory Usage: 143.457 MB, CPU Usage: 230.00 %, Power Usage: 118.50018500000000000000 W
Memory Usage: 148.074 MB, CPU Usage: 252.00 %, Power Usage: 116.37445700000000000000 W
Memory Usage: 151.246 MB, CPU Usage: 228.00 %, Power Usage: 116.74091200000000000000 W
Memory Usage: 144.055 MB, CPU Usage: 110.89 %, Power Usage: 105.51157100000000000000 W
Memory Usage: 144.055 MB, CPU Usage: 130.00 %, Power Usage: 97.15832100000000000000 W
Memory Usage: 109.688 MB, CPU Usage: 106.00 %, Power Usage: 96.63848500000000000000 W
Memory Usage: 109.688 MB, CPU Usage: 103.00 %, Power Usage: 95.83984300000000000000 W
Memory Usage: 108.363 MB, CPU Usage: 109.00 %, Power Usage: 96.09478600000000000000 W
Memory Usage: 108.363 MB, CPU Usage: 107.00 %, Power Usage: 95.74096600000000000000 W
Memory Usage: 108.363 MB, CPU Usage: 182.00 %, Power Usage: 98.25121300000000000000 W
Memory Usage: 151.176 MB, CPU Usage: 228.00 %, Power Usage: 115.49354000000000000000 W
Memory Usage: 155.863 MB, CPU Usage: 243.00 %, Power Usage: 118.06988800000000000000 W
Memory Usage: 151.867 MB, CPU Usage: 237.00 %, Power Usage: 117.19202100000000000000 W
Memory Usage: 147.684 MB, CPU Usage: 236.00 %, Power Usage: 117.85016200000000000000 W
Memory Usage: 157.238 MB, CPU Usage: 237.00 %, Power Usage: 117.20545000000000000000 W
Memory Usage: 147.73 MB, CPU Usage: 112.00 %, Power Usage: 101.02903800000000000000 W
Memory Usage: 147.121 MB, CPU Usage: 132.00 %, Power Usage: 97.40392600000000000000 W
Memory Usage: 116.621 MB, CPU Usage: 106.00 %, Power Usage: 96.30962900000000000000 W
Memory Usage: 116.934 MB, CPU Usage: 107.00 %, Power Usage: 95.52770900000000000000 W
Memory Usage: 117.246 MB, CPU Usage: 103.00 %, Power Usage: 95.41558800000000000000 W
Memory Usage: 116.621 MB, CPU Usage: 197.00 %, Power Usage: 100.47197200000000000000 W
Memory Usage: 160.059 MB, CPU Usage: 225.00 %, Power Usage: 116.92981600000000000000 W
Memory Usage: 147.566 MB, CPU Usage: 245.00 %, Power Usage: 117.70331100000000000000 W
Memory Usage: 162.059 MB, CPU Usage: 234.00 %, Power Usage: 116.82135700000000000000 W
Memory Usage: 161.375 MB, CPU Usage: 240.00 %, Power Usage: 118.37298800000000000000 W
Memory Usage: 146.562 MB, CPU Usage: 115.00 %, Power Usage: 103.42228200000000000000 W
Memory Usage: 146.562 MB, CPU Usage: 138.00 %, Power Usage: 97.88189000000000000000 W
Memory Usage: 122.75 MB, CPU Usage: 104.00 %, Power Usage: 95.61022800000000000000 W
Memory Usage: 122.75 MB, CPU Usage: 105.00 %, Power Usage: 95.62231400000000000000 W
Memory Usage: 122.75 MB, CPU Usage: 109.00 %, Power Usage: 95.77966300000000000000 W
Memory Usage: 122.75 MB, CPU Usage: 107.00 %, Power Usage: 95.37506100000000000000 W
Memory Usage: 122.75 MB, CPU Usage: 131.00 %, Power Usage: 98.30907400000000000000 W
Memory Usage: 125.562 MB, CPU Usage: 151.00 %, Power Usage: 97.43914300000000000000 W
Memory Usage: 162.75 MB, CPU Usage: 236.00 %, Power Usage: 117.74115300000000000000 W
Memory Usage: 170.004 MB, CPU Usage: 248.00 %, Power Usage: 118.12683500000000000000 W
Memory Usage: 167.324 MB, CPU Usage: 228.00 %, Power Usage: 118.50897300000000000000 W
Memory Usage: 161.32 MB, CPU Usage: 249.00 %, Power Usage: 119.49707000000000000000 W
Memory Usage: 150.879 MB, CPU Usage: 231.00 %, Power Usage: 117.78711300000000000000 W
Memory Usage: 160.941 MB, CPU Usage: 112.00 %, Power Usage: 100.48765700000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 114.00 %, Power Usage: 96.41277900000000000000 W
Memory Usage: 127.848 MB, CPU Usage: 105.00 %, Power Usage: 98.83043500000000000000 W
Memory Usage: 127.848 MB, CPU Usage: 108.00 %, Power Usage: 96.48260200000000000000 W
Memory Usage: 127.848 MB, CPU Usage: 108.00 %, Power Usage: 96.23235900000000000000 W
Memory Usage: 127.848 MB, CPU Usage: 110.00 %, Power Usage: 96.57598600000000000000 W
Memory Usage: 127.223 MB, CPU Usage: 108.00 %, Power Usage: 96.39922800000000000000 W
Memory Usage: 127.223 MB, CPU Usage: 127.72 %, Power Usage: 98.49834400000000000000 W
Memory Usage: 135.129 MB, CPU Usage: 220.00 %, Power Usage: 104.42759000000000000000 W
Memory Usage: 165.316 MB, CPU Usage: 236.00 %, Power Usage: 119.25671300000000000000 W
Memory Usage: 139.102 MB, CPU Usage: 243.00 %, Power Usage: 118.53491300000000000000 W
Memory Usage: 133.539 MB, CPU Usage: 234.00 %, Power Usage: 119.15612900000000000000 W
Memory Usage: 172.605 MB, CPU Usage: 246.00 %, Power Usage: 118.62774800000000000000 W
Memory Usage: 167.484 MB, CPU Usage: 186.00 %, Power Usage: 115.22236100000000000000 W
Memory Usage: 135.363 MB, CPU Usage: 109.00 %, Power Usage: 96.68835100000000000000 W
Memory Usage: 135.363 MB, CPU Usage: 136.00 %, Power Usage: 98.57439400000000000000 W
Memory Usage: 139.113 MB, CPU Usage: 105.00 %, Power Usage: 95.93688900000000000000 W
Memory Usage: 139.129 MB, CPU Usage: 111.00 %, Power Usage: 96.55511100000000000000 W
Memory Usage: 139.129 MB, CPU Usage: 113.00 %, Power Usage: 96.43615400000000000000 W
Memory Usage: 139.129 MB, CPU Usage: 135.00 %, Power Usage: 98.63011900000000000000 W
Memory Usage: 136.703 MB, CPU Usage: 104.00 %, Power Usage: 96.42761000000000000000 W
Memory Usage: 136.703 MB, CPU Usage: 103.00 %, Power Usage: 96.07159200000000000000 W
Memory Usage: 136.637 MB, CPU Usage: 109.00 %, Power Usage: 96.37432600000000000000 W
Memory Usage: 136.711 MB, CPU Usage: 103.00 %, Power Usage: 96.11016700000000000000 W
Memory Usage: 171.164 MB, CPU Usage: 235.00 %, Power Usage: 113.99958500000000000000 W
Memory Usage: 141.285 MB, CPU Usage: 242.00 %, Power Usage: 119.48449700000000000000 W
Memory Usage: 177.102 MB, CPU Usage: 235.00 %, Power Usage: 118.10034400000000000000 W
Memory Usage: 183.598 MB, CPU Usage: 237.00 %, Power Usage: 118.88104400000000000000 W
Memory Usage: 151.852 MB, CPU Usage: 236.00 %, Power Usage: 118.40252900000000000000 W
Memory Usage: 143.289 MB, CPU Usage: 111.00 %, Power Usage: 107.03439400000000000000 W
Memory Usage: 143.289 MB, CPU Usage: 112.00 %, Power Usage: 96.77544800000000000000 W
Memory Usage: 146.414 MB, CPU Usage: 109.00 %, Power Usage: 98.80455700000000000000 W
Memory Usage: 147.449 MB, CPU Usage: 114.00 %, Power Usage: 96.48241900000000000000 W
Memory Usage: 147.449 MB, CPU Usage: 116.00 %, Power Usage: 96.94463600000000000000 W
Memory Usage: 147.449 MB, CPU Usage: 109.00 %, Power Usage: 98.88970100000000000000 W
Memory Usage: 144.574 MB, CPU Usage: 108.00 %, Power Usage: 96.60564800000000000000 W
Memory Usage: 144.574 MB, CPU Usage: 109.00 %, Power Usage: 96.65649100000000000000 W
Memory Usage: 144.574 MB, CPU Usage: 107.00 %, Power Usage: 96.55968900000000000000 W
Memory Usage: 144.574 MB, CPU Usage: 110.00 %, Power Usage: 96.42596300000000000000 W
Memory Usage: 146.137 MB, CPU Usage: 132.00 %, Power Usage: 99.18620800000000000000 W
Memory Usage: 188.949 MB, CPU Usage: 237.00 %, Power Usage: 115.62525400000000000000 W
Memory Usage: 186.34 MB, CPU Usage: 244.00 %, Power Usage: 117.53235200000000000000 W
Memory Usage: 191.965 MB, CPU Usage: 245.00 %, Power Usage: 117.09509900000000000000 W
Memory Usage: 184.137 MB, CPU Usage: 235.00 %, Power Usage: 118.68121400000000000000 W
Memory Usage: 188.129 MB, CPU Usage: 245.00 %, Power Usage: 118.17505100000000000000 W
Memory Usage: 149.316 MB, CPU Usage: 105.00 %, Power Usage: 101.90953000000000000000 W
Memory Usage: 149.316 MB, CPU Usage: 112.00 %, Power Usage: 96.49181800000000000000 W
Memory Usage: 152.754 MB, CPU Usage: 106.00 %, Power Usage: 97.83367300000000000000 W
Memory Usage: 152.754 MB, CPU Usage: 113.00 %, Power Usage: 96.07848900000000000000 W
Memory Usage: 152.754 MB, CPU Usage: 115.00 %, Power Usage: 96.33538600000000000000 W
Memory Usage: 153.379 MB, CPU Usage: 137.00 %, Power Usage: 97.86059000000000000000 W
Memory Usage: 150.73 MB, CPU Usage: 107.00 %, Power Usage: 96.38360200000000000000 W
Memory Usage: 150.73 MB, CPU Usage: 108.00 %, Power Usage: 96.11212000000000000000 W
Memory Usage: 150.73 MB, CPU Usage: 107.00 %, Power Usage: 94.82208500000000000000 W
Memory Usage: 150.73 MB, CPU Usage: 107.00 %, Power Usage: 96.10473400000000000000 W
Memory Usage: 150.73 MB, CPU Usage: 124.00 %, Power Usage: 97.29143800000000000000 W
Memory Usage: 152.293 MB, CPU Usage: 103.00 %, Power Usage: 96.06304700000000000000 W
Memory Usage: 187.293 MB, CPU Usage: 241.00 %, Power Usage: 110.90639400000000000000 W
Memory Usage: 153.98 MB, CPU Usage: 248.00 %, Power Usage: 118.81201200000000000000 W
Memory Usage: 191.98 MB, CPU Usage: 238.00 %, Power Usage: 118.82483100000000000000 W
Memory Usage: 197.109 MB, CPU Usage: 253.00 %, Power Usage: 118.74432500000000000000 W
Memory Usage: 193.047 MB, CPU Usage: 242.00 %, Power Usage: 118.38397400000000000000 W
Memory Usage: 193.859 MB, CPU Usage: 108.00 %, Power Usage: 104.51340400000000000000 W
Memory Usage: 194.172 MB, CPU Usage: 124.00 %, Power Usage: 96.72832900000000000000 W
Memory Usage: 155.918 MB, CPU Usage: 109.00 %, Power Usage: 97.11999100000000000000 W
Memory Usage: 155.918 MB, CPU Usage: 113.00 %, Power Usage: 96.22674300000000000000 W
Memory Usage: 156.23 MB, CPU Usage: 114.00 %, Power Usage: 96.42974600000000000000 W
Memory Usage: 158.105 MB, CPU Usage: 105.00 %, Power Usage: 98.47686000000000000000 W
Memory Usage: 159.043 MB, CPU Usage: 109.00 %, Power Usage: 96.59478500000000000000 W
Memory Usage: 159.043 MB, CPU Usage: 109.00 %, Power Usage: 96.76202000000000000000 W
Memory Usage: 159.355 MB, CPU Usage: 111.00 %, Power Usage: 96.85723400000000000000 W
Memory Usage: 159.355 MB, CPU Usage: 106.00 %, Power Usage: 98.75707200000000000000 W
Memory Usage: 155.98 MB, CPU Usage: 105.00 %, Power Usage: 96.08929200000000000000 W
Memory Usage: 155.98 MB, CPU Usage: 106.00 %, Power Usage: 95.80810500000000000000 W
Memory Usage: 155.98 MB, CPU Usage: 104.00 %, Power Usage: 95.95666300000000000000 W
Memory Usage: 156.605 MB, CPU Usage: 107.00 %, Power Usage: 95.67620800000000000000 W
Memory Usage: 188.738 MB, CPU Usage: 228.00 %, Power Usage: 115.00110900000000000000 W
Memory Usage: 188.113 MB, CPU Usage: 245.54 %, Power Usage: 119.38964900000000000000 W
Memory Usage: 191.305 MB, CPU Usage: 228.00 %, Power Usage: 117.51099000000000000000 W
Memory Usage: 198.676 MB, CPU Usage: 244.00 %, Power Usage: 119.03900200000000000000 W
Memory Usage: 189.926 MB, CPU Usage: 230.69 %, Power Usage: 118.53094700000000000000 W
Memory Usage: 186.242 MB, CPU Usage: 113.00 %, Power Usage: 107.08291700000000000000 W
Memory Usage: 186.242 MB, CPU Usage: 116.00 %, Power Usage: 96.35552600000000000000 W
Memory Usage: 159.926 MB, CPU Usage: 110.00 %, Power Usage: 97.99523300000000000000 W
Memory Usage: 160.551 MB, CPU Usage: 114.00 %, Power Usage: 96.10064500000000000000 W
Memory Usage: 161.176 MB, CPU Usage: 117.00 %, Power Usage: 96.54259900000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 109.00 %, Power Usage: 98.50975800000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 114.00 %, Power Usage: 96.33770500000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 114.00 %, Power Usage: 96.74841000000000000000 W
Memory Usage: 164.926 MB, CPU Usage: 133.00 %, Power Usage: 98.58843200000000000000 W
Memory Usage: 162.055 MB, CPU Usage: 106.00 %, Power Usage: 96.28686200000000000000 W
Memory Usage: 162.055 MB, CPU Usage: 108.00 %, Power Usage: 95.77960200000000000000 W
Memory Usage: 162.055 MB, CPU Usage: 107.00 %, Power Usage: 95.86785800000000000000 W
Memory Usage: 162.055 MB, CPU Usage: 105.00 %, Power Usage: 95.64153900000000000000 W
Memory Usage: 161.309 MB, CPU Usage: 125.00 %, Power Usage: 98.61138000000000000000 W
Memory Usage: 167.246 MB, CPU Usage: 241.00 %, Power Usage: 110.17263100000000000000 W
Memory Usage: 164.246 MB, CPU Usage: 231.00 %, Power Usage: 118.41107400000000000000 W
Memory Usage: 199.309 MB, CPU Usage: 240.00 %, Power Usage: 118.70221100000000000000 W
Memory Usage: 200.242 MB, CPU Usage: 240.00 %, Power Usage: 118.93603600000000000000 W
Memory Usage: 201.863 MB, CPU Usage: 243.00 %, Power Usage: 118.38428000000000000000 W
Memory Usage: 190.176 MB, CPU Usage: 107.00 %, Power Usage: 108.81856800000000000000 W
Memory Usage: 190.801 MB, CPU Usage: 110.00 %, Power Usage: 96.01952900000000000000 W
Memory Usage: 191.426 MB, CPU Usage: 132.00 %, Power Usage: 96.91772200000000000000 W
