Memory Usage: 13.125 MB, CPU Usage: 151.00 %, Power Usage: 52.18095800000000000000 W
Memory Usage: 150.441 MB, CPU Usage: 227.00 %, Power Usage: 111.78786100000000000000 W
Memory Usage: 159.859 MB, CPU Usage: 214.00 %, Power Usage: 114.43305700000000000000 W
Memory Usage: 156.699 MB, CPU Usage: 168.00 %, Power Usage: 112.51228500000000000000 W
Memory Usage: 156.73 MB, CPU Usage: 128.00 %, Power Usage: 96.34301500000000000000 W
Memory Usage: 167.043 MB, CPU Usage: 152.00 %, Power Usage: 111.14839700000000000000 W
Memory Usage: 159.527 MB, CPU Usage: 92.00 %, Power Usage: 95.57177600000000000000 W
Memory Usage: 167.34 MB, CPU Usage: 238.00 %, Power Usage: 108.91042800000000000000 W
Memory Usage: 169.168 MB, CPU Usage: 90.00 %, Power Usage: 102.96244300000000000000 W
Memory Usage: 169.082 MB, CPU Usage: 227.00 %, Power Usage: 107.93081500000000000000 W
Memory Usage: 170.391 MB, CPU Usage: 91.09 %, Power Usage: 98.20476600000000000000 W
Memory Usage: 170.391 MB, CPU Usage: 92.00 %, Power Usage: 95.32769700000000000000 W
Memory Usage: 170.793 MB, CPU Usage: 148.00 %, Power Usage: 97.04687100000000000000 W
Memory Usage: 179.133 MB, CPU Usage: 228.00 %, Power Usage: 113.74879300000000000000 W
Memory Usage: 176.195 MB, CPU Usage: 94.00 %, Power Usage: 101.56608600000000000000 W
Memory Usage: 177.758 MB, CPU Usage: 92.00 %, Power Usage: 94.83392500000000000000 W
Memory Usage: 177.758 MB, CPU Usage: 89.00 %, Power Usage: 95.55523600000000000000 W
Memory Usage: 177.758 MB, CPU Usage: 89.00 %, Power Usage: 95.40954500000000000000 W
Memory Usage: 177.758 MB, CPU Usage: 147.00 %, Power Usage: 95.55841000000000000000 W
Memory Usage: 186.457 MB, CPU Usage: 225.00 %, Power Usage: 109.11477300000000000000 W
Memory Usage: 186.852 MB, CPU Usage: 198.00 %, Power Usage: 114.37562200000000000000 W
Memory Usage: 182.734 MB, CPU Usage: 88.00 %, Power Usage: 95.85778800000000000000 W
Memory Usage: 182.734 MB, CPU Usage: 89.00 %, Power Usage: 95.97991700000000000000 W
Memory Usage: 182.734 MB, CPU Usage: 92.00 %, Power Usage: 95.72326600000000000000 W
Memory Usage: 182.734 MB, CPU Usage: 108.00 %, Power Usage: 97.22045400000000000000 W
Memory Usage: 184.297 MB, CPU Usage: 91.00 %, Power Usage: 95.43609600000000000000 W
Memory Usage: 184.297 MB, CPU Usage: 91.00 %, Power Usage: 95.48718300000000000000 W
Memory Usage: 198.047 MB, CPU Usage: 223.00 %, Power Usage: 109.02712500000000000000 W
Memory Usage: 193.758 MB, CPU Usage: 230.00 %, Power Usage: 115.79419900000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 89.00 %, Power Usage: 97.44390300000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 94.00 %, Power Usage: 95.50909400000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 91.00 %, Power Usage: 95.45184200000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 105.00 %, Power Usage: 95.85394200000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 91.00 %, Power Usage: 95.52270500000000000000 W
Memory Usage: 190.301 MB, CPU Usage: 91.00 %, Power Usage: 95.40368600000000000000 W
Memory Usage: 199.586 MB, CPU Usage: 233.00 %, Power Usage: 104.75754500000000000000 W
Memory Usage: 198.93 MB, CPU Usage: 226.00 %, Power Usage: 116.25800300000000000000 W
