Memory Usage: 553.438 MB, CPU Usage: 100.00 %, Power Usage: 58.03622900000000000000 W
Memory Usage: 670.312 MB, CPU Usage: 99.00 %, Power Usage: 113.48365700000000000000 W
Memory Usage: 782.188 MB, CPU Usage: 100.00 %, Power Usage: 115.89862900000000000000 W
Memory Usage: 899.375 MB, CPU Usage: 100.00 %, Power Usage: 111.24336800000000000000 W
Memory Usage: 1021.25 MB, CPU Usage: 100.00 %, Power Usage: 110.80837200000000000000 W
Memory Usage: 1152.19 MB, CPU Usage: 100.00 %, Power Usage: 111.39528300000000000000 W
Memory Usage: 1280.94 MB, CPU Usage: 100.00 %, Power Usage: 111.96925700000000000000 W
Memory Usage: 1409.06 MB, CPU Usage: 99.00 %, Power Usage: 111.35365800000000000000 W
Memory Usage: 1538.44 MB, CPU Usage: 100.00 %, Power Usage: 112.35805000000000000000 W
Memory Usage: 1663.75 MB, CPU Usage: 100.00 %, Power Usage: 111.31032200000000000000 W
Memory Usage: 1790 MB, CPU Usage: 100.00 %, Power Usage: 111.39314700000000000000 W
Memory Usage: 1918.12 MB, CPU Usage: 99.01 %, Power Usage: 112.04793100000000000000 W
Memory Usage: 2043.12 MB, CPU Usage: 100.00 %, Power Usage: 115.20441700000000000000 W
Memory Usage: 2164.38 MB, CPU Usage: 99.00 %, Power Usage: 111.66328900000000000000 W
Memory Usage: 2282.81 MB, CPU Usage: 100.00 %, Power Usage: 117.09009300000000000000 W
Memory Usage: 2405.94 MB, CPU Usage: 100.00 %, Power Usage: 113.04176400000000000000 W
Memory Usage: 2530 MB, CPU Usage: 101.00 %, Power Usage: 112.32899700000000000000 W
Memory Usage: 2659.06 MB, CPU Usage: 101.00 %, Power Usage: 112.39058100000000000000 W
Memory Usage: 2785.62 MB, CPU Usage: 99.01 %, Power Usage: 112.55275200000000000000 W
Memory Usage: 2915 MB, CPU Usage: 100.00 %, Power Usage: 112.61116200000000000000 W
Memory Usage: 3043.75 MB, CPU Usage: 100.00 %, Power Usage: 113.23170500000000000000 W
