Memory Usage: 173.82 MB, CPU Usage: 113.00 %, Power Usage: 57.94418700000000000000 W
Memory Usage: 177.188 MB, CPU Usage: 111.00 %, Power Usage: 110.87117600000000000000 W
Memory Usage: 180.449 MB, CPU Usage: 113.00 %, Power Usage: 106.86459400000000000000 W
Memory Usage: 183.922 MB, CPU Usage: 98.00 %, Power Usage: 108.24459700000000000000 W
Memory Usage: 186.766 MB, CPU Usage: 114.00 %, Power Usage: 109.47701500000000000000 W
Memory Usage: 190.953 MB, CPU Usage: 113.00 %, Power Usage: 109.68740100000000000000 W
Memory Usage: 195.328 MB, CPU Usage: 115.00 %, Power Usage: 110.64559100000000000000 W
Memory Usage: 197.547 MB, CPU Usage: 104.00 %, Power Usage: 109.47451300000000000000 W
Memory Usage: 202.234 MB, CPU Usage: 114.00 %, Power Usage: 110.78963300000000000000 W
Memory Usage: 206.609 MB, CPU Usage: 113.00 %, Power Usage: 111.13661700000000000000 W
Memory Usage: 211.609 MB, CPU Usage: 114.00 %, Power Usage: 111.21285100000000000000 W
Memory Usage: 216.297 MB, CPU Usage: 113.00 %, Power Usage: 111.58150100000000000000 W
Memory Usage: 221.297 MB, CPU Usage: 112.00 %, Power Usage: 111.50185000000000000000 W
Memory Usage: 226.609 MB, CPU Usage: 112.00 %, Power Usage: 111.47194500000000000000 W
Memory Usage: 231.922 MB, CPU Usage: 112.00 %, Power Usage: 111.53560300000000000000 W
Memory Usage: 236.609 MB, CPU Usage: 101.00 %, Power Usage: 112.25343600000000000000 W
Memory Usage: 237.859 MB, CPU Usage: 73.00 %, Power Usage: 106.27865800000000000000 W
Memory Usage: 240.047 MB, CPU Usage: 114.00 %, Power Usage: 111.39565000000000000000 W
Memory Usage: 245.359 MB, CPU Usage: 114.00 %, Power Usage: 111.96754800000000000000 W
Memory Usage: 250.672 MB, CPU Usage: 114.00 %, Power Usage: 111.56361800000000000000 W
Memory Usage: 255.672 MB, CPU Usage: 114.00 %, Power Usage: 111.97218700000000000000 W
Memory Usage: 260.984 MB, CPU Usage: 112.00 %, Power Usage: 112.00752500000000000000 W
Memory Usage: 266.297 MB, CPU Usage: 112.00 %, Power Usage: 112.44685600000000000000 W
Memory Usage: 271.297 MB, CPU Usage: 114.00 %, Power Usage: 114.29755900000000000000 W
Memory Usage: 276.297 MB, CPU Usage: 113.00 %, Power Usage: 109.32107000000000000000 W
Memory Usage: 280.359 MB, CPU Usage: 113.00 %, Power Usage: 108.90469000000000000000 W
Memory Usage: 285.359 MB, CPU Usage: 115.00 %, Power Usage: 112.04896800000000000000 W
Memory Usage: 290.672 MB, CPU Usage: 111.00 %, Power Usage: 110.12465700000000000000 W
Memory Usage: 295.984 MB, CPU Usage: 111.00 %, Power Usage: 108.73171600000000000000 W
Memory Usage: 300.672 MB, CPU Usage: 110.00 %, Power Usage: 109.30990100000000000000 W
Memory Usage: 305.984 MB, CPU Usage: 111.00 %, Power Usage: 108.42599200000000000000 W
Memory Usage: 311.297 MB, CPU Usage: 107.00 %, Power Usage: 109.95687200000000000000 W
Memory Usage: 314.109 MB, CPU Usage: 100.00 %, Power Usage: 108.13387800000000000000 W
Memory Usage: 314.109 MB, CPU Usage: 111.00 %, Power Usage: 103.19156900000000000000 W
Memory Usage: 319.109 MB, CPU Usage: 110.00 %, Power Usage: 108.85763200000000000000 W
Memory Usage: 323.797 MB, CPU Usage: 109.00 %, Power Usage: 109.11410100000000000000 W
Memory Usage: 349.109 MB, CPU Usage: 211.00 %, Power Usage: 116.08014700000000000000 W
Memory Usage: 694.422 MB, CPU Usage: 212.00 %, Power Usage: 120.95440300000000000000 W
Memory Usage: 1040.67 MB, CPU Usage: 210.00 %, Power Usage: 121.70513200000000000000 W
Memory Usage: 1387.23 MB, CPU Usage: 203.00 %, Power Usage: 122.50835400000000000000 W
Memory Usage: 1735.05 MB, CPU Usage: 206.00 %, Power Usage: 121.14025300000000000000 W
Memory Usage: 2082.23 MB, CPU Usage: 206.00 %, Power Usage: 123.22649200000000000000 W
Memory Usage: 2418.48 MB, CPU Usage: 212.00 %, Power Usage: 122.72832300000000000000 W
Memory Usage: 2768.17 MB, CPU Usage: 211.00 %, Power Usage: 120.46740400000000000000 W
Memory Usage: 3111.92 MB, CPU Usage: 211.00 %, Power Usage: 121.96068600000000000000 W
Memory Usage: 3461.92 MB, CPU Usage: 211.00 %, Power Usage: 121.35302200000000000000 W
Memory Usage: 3805.36 MB, CPU Usage: 198.00 %, Power Usage: 117.92023000000000000000 W
