Memory Usage: 165.477 MB, CPU Usage: 185.00 %, Power Usage: 62.39894900000000000000 W
Memory Usage: 170.559 MB, CPU Usage: 198.00 %, Power Usage: 126.44779600000000000000 W
Memory Usage: 167.789 MB, CPU Usage: 198.00 %, Power Usage: 125.42570500000000000000 W
Memory Usage: 173.277 MB, CPU Usage: 191.00 %, Power Usage: 124.76341300000000000000 W
Memory Usage: 167.047 MB, CPU Usage: 182.00 %, Power Usage: 128.40537300000000000000 W
Memory Usage: 163.293 MB, CPU Usage: 196.00 %, Power Usage: 125.34709100000000000000 W
Memory Usage: 166.406 MB, CPU Usage: 198.00 %, Power Usage: 127.18796800000000000000 W
Memory Usage: 167.094 MB, CPU Usage: 160.00 %, Power Usage: 122.56719000000000000000 W
Memory Usage: 166.867 MB, CPU Usage: 166.00 %, Power Usage: 125.41496300000000000000 W
Memory Usage: 170.141 MB, CPU Usage: 173.00 %, Power Usage: 124.24803300000000000000 W
Memory Usage: 175.723 MB, CPU Usage: 192.00 %, Power Usage: 122.78923700000000000000 W
Memory Usage: 164.18 MB, CPU Usage: 196.00 %, Power Usage: 123.17448900000000000000 W
Memory Usage: 167.328 MB, CPU Usage: 196.00 %, Power Usage: 122.56883900000000000000 W
Memory Usage: 168.617 MB, CPU Usage: 197.00 %, Power Usage: 121.88433200000000000000 W
Memory Usage: 176.219 MB, CPU Usage: 182.00 %, Power Usage: 124.33128600000000000000 W
Memory Usage: 163.629 MB, CPU Usage: 196.00 %, Power Usage: 119.94421200000000000000 W
Memory Usage: 165.027 MB, CPU Usage: 197.00 %, Power Usage: 124.37822200000000000000 W
Memory Usage: 180.91 MB, CPU Usage: 195.00 %, Power Usage: 123.38725600000000000000 W
Memory Usage: 166.414 MB, CPU Usage: 197.00 %, Power Usage: 119.99206400000000000000 W
Memory Usage: 164.891 MB, CPU Usage: 187.00 %, Power Usage: 123.24327600000000000000 W
Memory Usage: 166.352 MB, CPU Usage: 196.00 %, Power Usage: 125.48118500000000000000 W
Memory Usage: 175.414 MB, CPU Usage: 196.00 %, Power Usage: 123.42863900000000000000 W
Memory Usage: 164.883 MB, CPU Usage: 195.05 %, Power Usage: 120.52782900000000000000 W
Memory Usage: 179.066 MB, CPU Usage: 190.10 %, Power Usage: 123.70671400000000000000 W
Memory Usage: 171.102 MB, CPU Usage: 197.00 %, Power Usage: 125.74607700000000000000 W
Memory Usage: 174.883 MB, CPU Usage: 189.00 %, Power Usage: 122.30828100000000000000 W
Memory Usage: 170.59 MB, CPU Usage: 176.24 %, Power Usage: 121.03228300000000000000 W
Memory Usage: 163 MB, CPU Usage: 157.00 %, Power Usage: 126.20603600000000000000 W
Memory Usage: 166.914 MB, CPU Usage: 195.00 %, Power Usage: 128.47245000000000000000 W
Memory Usage: 178.621 MB, CPU Usage: 194.00 %, Power Usage: 125.14866700000000000000 W
Memory Usage: 170.312 MB, CPU Usage: 197.00 %, Power Usage: 126.71219900000000000000 W
Memory Usage: 162.926 MB, CPU Usage: 196.00 %, Power Usage: 136.14778400000000000000 W
Memory Usage: 184.188 MB, CPU Usage: 192.00 %, Power Usage: 161.07972700000000000000 W
Memory Usage: 163.328 MB, CPU Usage: 143.00 %, Power Usage: 159.56184700000000000000 W
Memory Usage: 164.535 MB, CPU Usage: 189.00 %, Power Usage: 173.66630400000000000000 W
Memory Usage: 169.488 MB, CPU Usage: 197.00 %, Power Usage: 151.36753200000000000000 W
Memory Usage: 168.359 MB, CPU Usage: 197.00 %, Power Usage: 141.17908200000000000000 W
Memory Usage: 164.09 MB, CPU Usage: 196.00 %, Power Usage: 147.93394700000000000000 W
Memory Usage: 163.371 MB, CPU Usage: 198.00 %, Power Usage: 151.92283000000000000000 W
Memory Usage: 164.246 MB, CPU Usage: 196.00 %, Power Usage: 142.97235100000000000000 W
Memory Usage: 178.039 MB, CPU Usage: 197.00 %, Power Usage: 136.83381700000000000000 W
Memory Usage: 171.207 MB, CPU Usage: 196.00 %, Power Usage: 150.78135200000000000000 W
Memory Usage: 168.652 MB, CPU Usage: 196.00 %, Power Usage: 141.28241500000000000000 W
Memory Usage: 164.305 MB, CPU Usage: 194.00 %, Power Usage: 139.97785100000000000000 W
Memory Usage: 167.465 MB, CPU Usage: 197.00 %, Power Usage: 128.45578800000000000000 W
Memory Usage: 169.98 MB, CPU Usage: 196.00 %, Power Usage: 130.15201000000000000000 W
Memory Usage: 169.398 MB, CPU Usage: 198.00 %, Power Usage: 124.64409000000000000000 W
Memory Usage: 182.215 MB, CPU Usage: 190.00 %, Power Usage: 122.77794500000000000000 W
Memory Usage: 168.281 MB, CPU Usage: 162.00 %, Power Usage: 120.06878500000000000000 W
Memory Usage: 166.395 MB, CPU Usage: 154.00 %, Power Usage: 120.04125700000000000000 W
Memory Usage: 168.52 MB, CPU Usage: 172.00 %, Power Usage: 119.92144600000000000000 W
Memory Usage: 170.332 MB, CPU Usage: 169.00 %, Power Usage: 119.84521300000000000000 W
Memory Usage: 176.492 MB, CPU Usage: 129.00 %, Power Usage: 117.95703500000000000000 W
Memory Usage: 178.773 MB, CPU Usage: 165.00 %, Power Usage: 119.98754700000000000000 W
Memory Usage: 165.605 MB, CPU Usage: 158.00 %, Power Usage: 120.46819700000000000000 W
Memory Usage: 168.25 MB, CPU Usage: 196.00 %, Power Usage: 116.89160800000000000000 W
Memory Usage: 166.895 MB, CPU Usage: 198.00 %, Power Usage: 122.49132500000000000000 W
Memory Usage: 172.445 MB, CPU Usage: 197.00 %, Power Usage: 118.65234500000000000000 W
Memory Usage: 177.328 MB, CPU Usage: 165.00 %, Power Usage: 117.04443800000000000000 W
Memory Usage: 168.809 MB, CPU Usage: 126.00 %, Power Usage: 134.31929800000000000000 W
