Memory Usage: 156.16 MB, CPU Usage: 100.00 %, Power Usage: 58.80459900000000000000 W
Memory Usage: 156.473 MB, CPU Usage: 99.00 %, Power Usage: 112.76082000000000000000 W
Memory Usage: 156.785 MB, CPU Usage: 100.00 %, Power Usage: 115.15644200000000000000 W
Memory Usage: 157.098 MB, CPU Usage: 99.00 %, Power Usage: 111.76015200000000000000 W
Memory Usage: 157.723 MB, CPU Usage: 99.01 %, Power Usage: 113.35298100000000000000 W
Memory Usage: 158.035 MB, CPU Usage: 101.00 %, Power Usage: 115.70221800000000000000 W
Memory Usage: 158.66 MB, CPU Usage: 100.00 %, Power Usage: 112.51253000000000000000 W
Memory Usage: 158.973 MB, CPU Usage: 101.00 %, Power Usage: 113.15925600000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 103.00 %, Power Usage: 113.28566000000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 116.31738900000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 101.00 %, Power Usage: 114.63831800000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 114.16023100000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 113.11286900000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 112.82454000000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 113.27888500000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 115.05140200000000000000 W
Memory Usage: 159.598 MB, CPU Usage: 100.00 %, Power Usage: 115.30048600000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 99.00 %, Power Usage: 114.61060800000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 114.72596400000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 99.00 %, Power Usage: 115.73212500000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 101.00 %, Power Usage: 114.31007100000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 99.01 %, Power Usage: 112.15443700000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 112.03767700000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 112.14265800000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 112.52498000000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 101.00 %, Power Usage: 112.17842300000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 112.96815600000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 99.00 %, Power Usage: 112.96333400000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 111.64986100000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 112.81587300000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 99.00 %, Power Usage: 112.23598000000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 112.10139700000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 111.97560500000000000000 W
Memory Usage: 160.848 MB, CPU Usage: 102.00 %, Power Usage: 111.67250500000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 101.00 %, Power Usage: 111.55836900000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 111.92903500000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 112.45527800000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 112.41041800000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 101.00 %, Power Usage: 112.00691600000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 101.00 %, Power Usage: 111.73445500000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 99.01 %, Power Usage: 111.92793600000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 103.00 %, Power Usage: 111.86665700000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 100.00 %, Power Usage: 112.28242700000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 100.00 %, Power Usage: 110.84694500000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 100.00 %, Power Usage: 112.16365400000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 0.00 %, Power Usage: 111.96455700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 65.51631100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.90376800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.55230900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 66.14930600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.42470000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 65.13478300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.28090200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.49476900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.89369600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.36415400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.79958100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.80739200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.95351100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.03865500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.60432900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 65.20759700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.26521600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.81178700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.81264200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.50868700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.04237800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.03761700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.11440100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.43495700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.64613900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.86287100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.76485100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.17988900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.41890300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 64.14931100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 63.97279800000000000000 W
