Memory Usage: 160.879 MB, CPU Usage: 197.00 %, Power Usage: 64.25947900000000000000 W
Memory Usage: 163.465 MB, CPU Usage: 148.00 %, Power Usage: 118.70794900000000000000 W
Memory Usage: 167.484 MB, CPU Usage: 197.00 %, Power Usage: 124.62095700000000000000 W
Memory Usage: 162.875 MB, CPU Usage: 197.00 %, Power Usage: 125.16008000000000000000 W
Memory Usage: 171.312 MB, CPU Usage: 197.00 %, Power Usage: 124.91996800000000000000 W
Memory Usage: 166 MB, CPU Usage: 196.00 %, Power Usage: 125.16795300000000000000 W
Memory Usage: 167.668 MB, CPU Usage: 180.00 %, Power Usage: 122.96770300000000000000 W
Memory Usage: 176.242 MB, CPU Usage: 193.00 %, Power Usage: 124.13499700000000000000 W
Memory Usage: 165.328 MB, CPU Usage: 171.00 %, Power Usage: 122.74932000000000000000 W
Memory Usage: 162.875 MB, CPU Usage: 182.00 %, Power Usage: 116.95075000000000000000 W
Memory Usage: 177.121 MB, CPU Usage: 188.00 %, Power Usage: 121.49584500000000000000 W
Memory Usage: 166.883 MB, CPU Usage: 197.00 %, Power Usage: 124.83415200000000000000 W
Memory Usage: 165.84 MB, CPU Usage: 189.00 %, Power Usage: 122.86614100000000000000 W
Memory Usage: 163.23 MB, CPU Usage: 161.00 %, Power Usage: 121.18426100000000000000 W
Memory Usage: 168.539 MB, CPU Usage: 190.00 %, Power Usage: 122.98735500000000000000 W
Memory Usage: 160.875 MB, CPU Usage: 196.00 %, Power Usage: 120.58764300000000000000 W
Memory Usage: 161.426 MB, CPU Usage: 196.00 %, Power Usage: 120.51513300000000000000 W
Memory Usage: 179.105 MB, CPU Usage: 189.00 %, Power Usage: 118.11291800000000000000 W
Memory Usage: 174.234 MB, CPU Usage: 183.00 %, Power Usage: 123.87877300000000000000 W
Memory Usage: 165.172 MB, CPU Usage: 175.00 %, Power Usage: 122.30583900000000000000 W
