Memory Usage: 156.473 MB, CPU Usage: 100.00 %, Power Usage: 58.69601700000000000000 W
Memory Usage: 156.785 MB, CPU Usage: 100.00 %, Power Usage: 113.81678600000000000000 W
Memory Usage: 157.098 MB, CPU Usage: 100.00 %, Power Usage: 118.39654800000000000000 W
Memory Usage: 157.723 MB, CPU Usage: 100.00 %, Power Usage: 113.35285900000000000000 W
Memory Usage: 158.035 MB, CPU Usage: 101.00 %, Power Usage: 115.08417800000000000000 W
Memory Usage: 158.348 MB, CPU Usage: 100.00 %, Power Usage: 112.46498400000000000000 W
Memory Usage: 158.973 MB, CPU Usage: 100.00 %, Power Usage: 112.94184800000000000000 W
Memory Usage: 159.285 MB, CPU Usage: 100.00 %, Power Usage: 112.87282000000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 99.00 %, Power Usage: 112.25105500000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 114.26588200000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 114.15076900000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 114.79615400000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 101.00 %, Power Usage: 114.55250300000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 101.00 %, Power Usage: 114.22041000000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 100.00 %, Power Usage: 114.05665500000000000000 W
Memory Usage: 159.91 MB, CPU Usage: 101.00 %, Power Usage: 114.21381800000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 103.00 %, Power Usage: 113.71455300000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 113.94373900000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 114.00770400000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 101.00 %, Power Usage: 115.07258100000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 99.01 %, Power Usage: 114.57215500000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 114.46070600000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 99.01 %, Power Usage: 114.29951200000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 101.00 %, Power Usage: 114.31330600000000000000 W
Memory Usage: 160.223 MB, CPU Usage: 100.00 %, Power Usage: 114.33991700000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 99.00 %, Power Usage: 114.25025700000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 101.00 %, Power Usage: 114.26588200000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 99.00 %, Power Usage: 115.26636700000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 115.53974400000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 114.98353100000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 99.00 %, Power Usage: 114.66773700000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 100.00 %, Power Usage: 114.05189200000000000000 W
Memory Usage: 160.535 MB, CPU Usage: 101.00 %, Power Usage: 114.12824800000000000000 W
Memory Usage: 160.848 MB, CPU Usage: 103.00 %, Power Usage: 113.87531900000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 112.84187500000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 114.10249000000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 115.00513800000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 115.05787200000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 115.11500000000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 113.33741800000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 99.00 %, Power Usage: 113.70613000000000000000 W
Memory Usage: 161.16 MB, CPU Usage: 100.00 %, Power Usage: 114.20802100000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 101.00 %, Power Usage: 114.14460500000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 100.00 %, Power Usage: 115.37201900000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 99.00 %, Power Usage: 113.91487000000000000000 W
Memory Usage: 161.473 MB, CPU Usage: 100.00 %, Power Usage: 115.29926500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 83.82595700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.00787200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 75.29167800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 74.17223400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.03521600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.83984300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.12182700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.09784100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.50000000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.31567500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.57006800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.35742200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.78161500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.91400300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.96606400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.90893500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.09582300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.13372800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.87738300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.38842800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.73108100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.59613000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.28198400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.82477000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.24249200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.72394000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.63995700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.79773100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.01049900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.81964300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.71441900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.01361200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.01159800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.89471400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.93029900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.95312600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.39477600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.93670500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.35559200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.01940800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.37970000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.27380400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.92181500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.47302300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.79449400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.35583600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.42126400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.89587400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.59765300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.66613700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.92077600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.46563700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.97772100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.14032000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.96801700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.61157200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.35967900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.33837900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.65612700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.00280700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.50427200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.48004200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.81286600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.33642600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.89239300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.27472000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.26849300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.57067500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.48028600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.68023600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.46881200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.98229800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.65503000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.49957200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.78607200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.23364000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.05682300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.49169900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.31243600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.78430200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.67382700000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.30334300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.21814100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.23291100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.65746900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.44134600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.66766100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.84136800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.30652000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.08251800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.20721600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.16088600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.49017400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.05554300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.97467000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.05395300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.63079800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.90881200000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.84283400000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.71850500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.75940000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.72723300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.61084000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.83093100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 70.70031900000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.62970000000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 72.15966600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.60144100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.35382100000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.54504300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.17944500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.48010300000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.28387500000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.97576800000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 71.93499600000000000000 W
Memory Usage: 151.801 MB, CPU Usage: 0.00 %, Power Usage: 78.11112900000000000000 W
