Memory Usage: 1324.53 MB, CPU Usage: 126.00 %, Power Usage: 53.06901700000000000000 W
Memory Usage: 1325.47 MB, CPU Usage: 46.00 %, Power Usage: 77.77390900000000000000 W
Memory Usage: 1327.41 MB, CPU Usage: 98.00 %, Power Usage: 90.72187500000000000000 W
Memory Usage: 1346.34 MB, CPU Usage: 121.00 %, Power Usage: 122.80339700000000000000 W
Memory Usage: 1346.65 MB, CPU Usage: 44.00 %, Power Usage: 97.58739600000000000000 W
Memory Usage: 1370.4 MB, CPU Usage: 112.00 %, Power Usage: 121.14269500000000000000 W
Memory Usage: 1394.21 MB, CPU Usage: 227.00 %, Power Usage: 132.69009100000000000000 W
Memory Usage: 1385.89 MB, CPU Usage: 47.00 %, Power Usage: 87.03554300000000000000 W
Memory Usage: 1385.89 MB, CPU Usage: 105.00 %, Power Usage: 95.90710300000000000000 W
Memory Usage: 1336.71 MB, CPU Usage: 227.00 %, Power Usage: 121.96422700000000000000 W
Memory Usage: 1324.71 MB, CPU Usage: 47.00 %, Power Usage: 96.24035400000000000000 W
Memory Usage: 1324.71 MB, CPU Usage: 95.00 %, Power Usage: 91.24756900000000000000 W
Memory Usage: 1357.35 MB, CPU Usage: 232.00 %, Power Usage: 119.65844700000000000000 W
Memory Usage: 1326.2 MB, CPU Usage: 46.00 %, Power Usage: 99.30717900000000000000 W
Memory Usage: 1326.2 MB, CPU Usage: 96.00 %, Power Usage: 88.48799400000000000000 W
Memory Usage: 1336.8 MB, CPU Usage: 229.00 %, Power Usage: 113.53309600000000000000 W
Memory Usage: 1342.83 MB, CPU Usage: 77.00 %, Power Usage: 102.37705700000000000000 W
Memory Usage: 1325.81 MB, CPU Usage: 95.00 %, Power Usage: 83.15756300000000000000 W
Memory Usage: 1420.96 MB, CPU Usage: 235.00 %, Power Usage: 115.53437200000000000000 W
Memory Usage: 1338.21 MB, CPU Usage: 145.00 %, Power Usage: 113.47554000000000000000 W
Memory Usage: 1327.1 MB, CPU Usage: 51.00 %, Power Usage: 80.74668000000000000000 W
Memory Usage: 1624.48 MB, CPU Usage: 216.00 %, Power Usage: 111.45442600000000000000 W
Memory Usage: 1346.27 MB, CPU Usage: 224.00 %, Power Usage: 112.41749800000000000000 W
Memory Usage: 1329.02 MB, CPU Usage: 49.00 %, Power Usage: 84.20699900000000000000 W
Memory Usage: 1631.52 MB, CPU Usage: 116.00 %, Power Usage: 103.14377900000000000000 W
Memory Usage: 1337.24 MB, CPU Usage: 232.00 %, Power Usage: 117.83502500000000000000 W
Memory Usage: 1329.89 MB, CPU Usage: 48.00 %, Power Usage: 94.23114400000000000000 W
Memory Usage: 1329.89 MB, CPU Usage: 110.00 %, Power Usage: 93.72516200000000000000 W
Memory Usage: 1342.64 MB, CPU Usage: 239.00 %, Power Usage: 119.07147300000000000000 W
Memory Usage: 1339.84 MB, CPU Usage: 198.00 %, Power Usage: 106.23874200000000000000 W
Memory Usage: 1330.96 MB, CPU Usage: 59.00 %, Power Usage: 78.57578700000000000000 W
Memory Usage: 1628.52 MB, CPU Usage: 194.00 %, Power Usage: 109.19234700000000000000 W
Memory Usage: 1359.6 MB, CPU Usage: 134.00 %, Power Usage: 111.79366000000000000000 W
Memory Usage: 1330.77 MB, CPU Usage: 48.00 %, Power Usage: 87.57722900000000000000 W
Memory Usage: 1639.21 MB, CPU Usage: 109.00 %, Power Usage: 106.27402000000000000000 W
Memory Usage: 1337.86 MB, CPU Usage: 232.00 %, Power Usage: 116.62903500000000000000 W
Memory Usage: 1341.95 MB, CPU Usage: 82.00 %, Power Usage: 102.04899500000000000000 W
Memory Usage: 1337.8 MB, CPU Usage: 108.00 %, Power Usage: 91.22999100000000000000 W
Memory Usage: 1337.75 MB, CPU Usage: 230.00 %, Power Usage: 116.96900000000000000000 W
Memory Usage: 1338.52 MB, CPU Usage: 47.00 %, Power Usage: 99.72252200000000000000 W
Memory Usage: 1338.52 MB, CPU Usage: 86.00 %, Power Usage: 84.78939500000000000000 W
Memory Usage: 1355.32 MB, CPU Usage: 235.00 %, Power Usage: 112.86543400000000000000 W
Memory Usage: 1341.27 MB, CPU Usage: 219.00 %, Power Usage: 115.11994400000000000000 W
Memory Usage: 1340.9 MB, CPU Usage: 45.00 %, Power Usage: 82.38095400000000000000 W
Memory Usage: 1624.65 MB, CPU Usage: 95.00 %, Power Usage: 95.60229400000000000000 W
Memory Usage: 1463.19 MB, CPU Usage: 241.00 %, Power Usage: 117.50000400000000000000 W
Memory Usage: 1425.05 MB, CPU Usage: 49.00 %, Power Usage: 96.52667000000000000000 W
Memory Usage: 1425.05 MB, CPU Usage: 99.00 %, Power Usage: 86.94606700000000000000 W
Memory Usage: 1355 MB, CPU Usage: 226.00 %, Power Usage: 115.29615300000000000000 W
Memory Usage: 1359.06 MB, CPU Usage: 146.00 %, Power Usage: 110.08730300000000000000 W
Memory Usage: 1342.89 MB, CPU Usage: 54.00 %, Power Usage: 77.23466600000000000000 W
Memory Usage: 1646.43 MB, CPU Usage: 200.00 %, Power Usage: 111.57094200000000000000 W
Memory Usage: 1438.3 MB, CPU Usage: 232.00 %, Power Usage: 110.10231800000000000000 W
Memory Usage: 1403.19 MB, CPU Usage: 46.00 %, Power Usage: 82.77041800000000000000 W
Memory Usage: 1485.69 MB, CPU Usage: 94.00 %, Power Usage: 95.58441100000000000000 W
Memory Usage: 1417.59 MB, CPU Usage: 228.00 %, Power Usage: 116.27484900000000000000 W
Memory Usage: 1407.02 MB, CPU Usage: 63.00 %, Power Usage: 94.68139800000000000000 W
Memory Usage: 1403.92 MB, CPU Usage: 71.00 %, Power Usage: 73.16076200000000000000 W
Memory Usage: 1411.58 MB, CPU Usage: 246.00 %, Power Usage: 111.71846500000000000000 W
Memory Usage: 1407.04 MB, CPU Usage: 154.00 %, Power Usage: 105.13162700000000000000 W
Memory Usage: 1407.79 MB, CPU Usage: 45.00 %, Power Usage: 70.53192500000000000000 W
