2025/01/11 17:11:39.451, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:39.454, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:40.494, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:40.497, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:41.536, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:41.539, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:42.579, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:42.583, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:43.620, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:43.624, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:44.660, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:44.663, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:45.698, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:45.702, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:46.738, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:46.741, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:47.776, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:47.780, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:48.815, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:48.818, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:49.854, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:49.857, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:50.894, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:50.897, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:51.933, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:51.936, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:52.972, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:52.975, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:54.013, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:54.016, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:55.053, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:55.056, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:56.093, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:56.097, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:57.133, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:57.136, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:58.173, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:58.177, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:59.216, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:11:59.220, 27.12 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:12:00.256, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:12:00.260, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 17:12:01.475, 25.02 W, 0 %, 15 MiB, 16384 MiB
2025/01/11 17:12:01.479, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:02.517, 41.21 W, 62 %, 2923 MiB, 16384 MiB
2025/01/11 17:12:02.520, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:03.555, 34.22 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:03.558, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:04.594, 34.22 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:04.598, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:05.635, 30.59 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:05.638, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:06.675, 30.35 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:06.678, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:07.719, 30.59 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:07.724, 27.12 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:08.762, 30.35 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:08.765, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:09.803, 30.35 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:09.806, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:10.842, 30.35 W, 0 %, 2889 MiB, 16384 MiB
2025/01/11 17:12:10.845, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 17:12:11.882, 30.35 W, 0 %, 2889 MiB, 16384 MiB
