2025/01/11 08:56:28.799, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:28.803, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:29.841, 24.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:29.844, 26.86 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:30.887, 24.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:30.892, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:31.941, 24.76 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:31.945, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:32.991, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:32.994, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:34.035, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:34.038, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:35.078, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:35.082, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:36.119, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:36.123, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:37.163, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:37.166, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:38.206, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:38.209, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:39.249, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:39.255, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/11 08:56:40.549, 24.78 W, 0 %, 15 MiB, 16384 MiB
2025/01/11 08:56:40.554, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:41.596, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:41.600, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:42.642, 33.73 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:42.645, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:43.684, 33.73 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:43.687, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:44.725, 36.62 W, 0 %, 2795 MiB, 16384 MiB
2025/01/11 08:56:44.728, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:45.778, 33.49 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:45.783, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:46.819, 33.73 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:46.822, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:47.867, 34.22 W, 81 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:47.871, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:48.909, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:48.912, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:49.953, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:49.956, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:50.997, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:51.001, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:52.037, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:52.040, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:53.076, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:53.079, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:54.116, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:54.120, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:55.160, 34.22 W, 44 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:55.164, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:56.205, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:56.208, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:57.245, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:57.248, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:58.284, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:58.288, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:56:59.324, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:56:59.327, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:57:00.367, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:57:00.370, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:57:01.407, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:57:01.411, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:57:02.446, 34.22 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:57:02.449, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:57:03.485, 33.97 W, 0 %, 2791 MiB, 16384 MiB
2025/01/11 08:57:03.488, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/11 08:57:04.521, 34.22 W, 0 %, 2791 MiB, 16384 MiB
