Memory Usage: 293.008 MB, CPU Usage: 126.00 %, Power Usage: 57.74704500000000000000 W
Memory Usage: 324.008 MB, CPU Usage: 131.00 %, Power Usage: 112.45851300000000000000 W
Memory Usage: 325.723 MB, CPU Usage: 134.00 %, Power Usage: 112.44362100000000000000 W
Memory Usage: 331.035 MB, CPU Usage: 139.00 %, Power Usage: 116.13117200000000000000 W
Memory Usage: 332.586 MB, CPU Usage: 135.00 %, Power Usage: 113.64149400000000000000 W
Memory Usage: 332.883 MB, CPU Usage: 136.63 %, Power Usage: 112.32905800000000000000 W
Memory Usage: 356.273 MB, CPU Usage: 138.00 %, Power Usage: 112.93519700000000000000 W
Memory Usage: 356.855 MB, CPU Usage: 144.00 %, Power Usage: 113.12550400000000000000 W
Memory Usage: 357.422 MB, CPU Usage: 125.00 %, Power Usage: 112.53407500000000000000 W
Memory Usage: 358.645 MB, CPU Usage: 146.00 %, Power Usage: 113.42372100000000000000 W
Memory Usage: 358.562 MB, CPU Usage: 140.00 %, Power Usage: 111.81239600000000000000 W
Memory Usage: 359.168 MB, CPU Usage: 129.00 %, Power Usage: 112.38966600000000000000 W
Memory Usage: 359.406 MB, CPU Usage: 129.00 %, Power Usage: 112.32167300000000000000 W
Memory Usage: 359.672 MB, CPU Usage: 142.00 %, Power Usage: 110.89345400000000000000 W
Memory Usage: 361.141 MB, CPU Usage: 139.00 %, Power Usage: 112.92433300000000000000 W
Memory Usage: 361.391 MB, CPU Usage: 152.00 %, Power Usage: 115.15577200000000000000 W
Memory Usage: 361.91 MB, CPU Usage: 149.00 %, Power Usage: 115.48566600000000000000 W
Memory Usage: 362.207 MB, CPU Usage: 154.00 %, Power Usage: 114.71088800000000000000 W
Memory Usage: 362.742 MB, CPU Usage: 129.00 %, Power Usage: 113.75086800000000000000 W
Memory Usage: 363.609 MB, CPU Usage: 152.00 %, Power Usage: 113.69953800000000000000 W
Memory Usage: 375.172 MB, CPU Usage: 142.00 %, Power Usage: 113.53565900000000000000 W
Memory Usage: 378.137 MB, CPU Usage: 148.00 %, Power Usage: 114.85578600000000000000 W
Memory Usage: 379.23 MB, CPU Usage: 154.00 %, Power Usage: 113.64851200000000000000 W
Memory Usage: 413.555 MB, CPU Usage: 145.54 %, Power Usage: 114.43342300000000000000 W
