2025/01/09 19:32:24.249, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:24.255, 26.88 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:25.292, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:25.295, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:26.333, 25.02 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:26.336, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:27.374, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:27.377, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:28.414, 24.78 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:28.417, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:29.453, 25.01 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:29.456, 27.13 W, 0 %, 5 MiB, 16384 MiB
2025/01/09 19:32:30.560, 24.76 W, 0 %, 15 MiB, 16384 MiB
2025/01/09 19:32:30.564, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:31.605, 30.35 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:31.608, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:32.644, 30.33 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:32.648, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:33.683, 30.35 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:33.686, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:34.721, 30.59 W, 1 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:34.724, 27.13 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:35.759, 30.33 W, 14 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:35.762, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:36.800, 30.35 W, 16 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:36.803, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:37.839, 30.59 W, 25 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:37.842, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:38.879, 36.62 W, 13 %, 1179 MiB, 16384 MiB
2025/01/09 19:32:38.884, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:39.921, 45.54 W, 25 %, 1219 MiB, 16384 MiB
2025/01/09 19:32:39.925, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:40.961, 30.59 W, 19 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:40.965, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:42.002, 30.35 W, 10 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:42.005, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:43.043, 30.58 W, 23 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:43.049, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:44.082, 30.35 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:44.089, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:45.123, 30.59 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:45.128, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:46.161, 30.35 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:46.167, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:47.202, 30.58 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:47.207, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:48.242, 30.35 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:48.246, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:49.282, 52.50 W, 0 %, 1243 MiB, 16384 MiB
2025/01/09 19:32:49.286, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:50.323, 30.82 W, 1 %, 1199 MiB, 16384 MiB
2025/01/09 19:32:50.326, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:51.363, 32.27 W, 9 %, 1171 MiB, 16384 MiB
2025/01/09 19:32:51.366, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:52.402, 38.05 W, 11 %, 1193 MiB, 16384 MiB
2025/01/09 19:32:52.405, 27.11 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:53.443, 33.49 W, 27 %, 1225 MiB, 16384 MiB
2025/01/09 19:32:53.446, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:54.482, 30.59 W, 30 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:54.485, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:55.520, 30.59 W, 20 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:55.524, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:56.557, 30.82 W, 25 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:56.563, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:57.599, 30.59 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:57.603, 26.88 W, 0 %, 7 MiB, 16384 MiB
2025/01/09 19:32:58.636, 30.59 W, 0 %, 1155 MiB, 16384 MiB
2025/01/09 19:32:58.642, 26.88 W, 0 %, 7 MiB, 16384 MiB
